time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,2048030_c,2048030_p,2048030_r,2048030_s,3814937_c,3814937_h,3814937_p,3814937_r,3814937_s,3816381_c,3816381_h,3816381_p,3816381_r,3816381_s
2023-05-30 12:20:00,,46.33,29.5,29.3,29.4,27.2,27.2,[27.2],,0.74,,,,29.5,0.58,27.0,26.0,,29.3,0.0,,
2023-05-30 12:25:00,,46.24,29.7,28.9,29.3,27.1,27.1,[27.1],,0.75,,,,29.7,4.93,27.0,26.0,,28.9,0.0,,
2023-05-30 12:30:00,,46.72,29.5,28.9,29.2,27.1,27.1,[27.1],,0.73,,,,29.5,0.58,27.5,26.0,,28.9,0.0,,
2023-05-30 12:35:00,,46.760000000000005,29.5,29.5,29.5,27.5,27.5,[27.5],,0.74,,,,29.5,4.75,27.0,26.0,,29.5,0.0,,
2023-05-30 12:40:00,,46.36,29.6,29.2,29.4,27.4,27.4,[27.4],,0.74,,,,29.6,0.58,27.5,26.0,,29.2,0.0,,
2023-05-30 12:45:00,,46.23,29.6,28.9,29.25,27.3,27.3,[27.3],,0.73,,,,29.6,4.76,26.0,26.0,,28.9,0.0,,
2023-05-30 12:50:00,,46.72,29.6,28.9,29.25,27.2,27.2,[27.2],,0.73,,,,29.6,0.58,28.5,26.0,,28.9,0.0,,
2023-05-30 12:55:00,,46.71,29.6,29.4,29.5,27.4,27.4,[27.4],,0.73,,,,29.6,4.82,26.0,26.0,,29.4,0.0,,
2023-05-30 13:00:00,,46.32,29.7,29.2,29.45,27.2,27.2,[27.2],,0.74,,,,29.7,5.0,28.5,26.0,,29.2,0.0,,
2023-05-30 13:05:00,,46.83,29.8,29.8,29.8,27.5,27.5,[27.5],,0.74,,,,29.8,5.01,27.0,26.0,,29.8,0.0,,
2023-05-30 13:10:00,,46.37,30.1,30.1,30.1,27.9,27.9,[27.9],,0.74,,,,30.1,4.9,28.0,26.0,,30.1,0.0,,
