time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1176760_c,1176760_h,1176760_p,1176760_r,1176760_s,3819596_c,3819596_h,3819596_p,3819596_r,3819596_s,3819597_c,3819597_h,3819597_p,3819597_r,3819597_s,3819598_c,3819598_p,3819598_r,3819598_s
2023-05-30 10:55:00,,,33.3,29.2,30.566666666666663,27.4,28.6,"[28.6, 26.5, 27.1]",1.0,33.3,5.7,27.2,25.0,1.0,29.2,0.1,26.0,25.0,1.0,29.2,3.2,23.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 11:00:00,,,32.5,29.0,30.166666666666668,27.366666666666664,28.4,"[28.4, 26.5, 27.2]",1.0,32.5,5.7,26.2,25.0,1.0,29.0,3.2,23.0,25.0,1.0,29.0,0.0,27.0,25.0,0.0,3.8,0.0,0.0
2023-05-30 11:05:00,,,31.7,29.0,29.9,27.266666666666666,28.2,"[28.2, 26.6, 27.0]",1.0,31.7,5.7,26.8,25.0,1.0,29.0,0.1,26.0,25.0,1.0,29.0,0.1,27.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 11:10:00,,,33.3,29.4,30.7,27.4,28.6,"[28.6, 26.5, 27.1]",1.0,33.3,5.8,26.3,25.0,1.0,29.4,0.1,26.0,25.0,1.0,29.4,3.2,22.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 11:15:00,,,33.5,29.7,30.96666666666667,27.5,28.9,"[28.9, 26.4, 27.2]",1.0,33.5,5.8,26.2,25.0,1.0,29.7,0.1,27.0,25.0,1.0,29.7,0.0,26.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 11:20:00,,,31.8,28.6,29.666666666666668,27.266666666666666,28.2,"[28.2, 26.6, 27.0]",1.0,31.8,5.8,26.4,25.0,1.0,28.6,0.1,23.0,25.0,1.0,28.6,0.1,27.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 11:25:00,,,33.3,29.4,30.7,27.366666666666664,28.4,"[28.4, 26.5, 27.2]",1.0,33.3,5.8,27.3,25.0,1.0,29.4,0.1,27.0,25.0,1.0,29.4,3.2,23.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 11:30:00,,,33.3,29.4,30.7,27.5,28.9,"[28.9, 26.4, 27.2]",1.0,33.3,5.8,26.4,25.0,1.0,29.4,0.1,26.0,25.0,1.0,29.4,0.0,26.0,25.0,0.0,3.8,0.0,0.0
2023-05-30 11:35:00,,,32.0,29.6,30.4,27.46666666666667,28.8,"[28.8, 26.5, 27.1]",1.0,32.0,5.8,26.1,25.0,1.0,29.6,3.2,25.0,25.0,1.0,29.6,0.0,26.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 11:40:00,,,33.3,29.3,30.63333333333333,27.366666666666664,28.4,"[28.4, 26.5, 27.2]",1.0,33.3,5.8,27.1,25.0,1.0,29.3,0.1,26.0,25.0,1.0,29.3,0.5,23.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 11:45:00,,,33.3,29.0,30.433333333333334,27.266666666666666,28.3,"[28.3, 26.4, 27.1]",1.0,33.3,,26.2,25.0,1.0,29.0,,25.0,25.0,1.0,29.0,,26.0,25.0,0.0,,0.0,0.0
2023-05-30 11:50:00,,,32.0,29.0,30.0,27.2,28.0,"[28.0, 26.5, 27.1]",1.0,32.0,5.9,27.0,25.0,1.0,29.0,0.1,25.0,25.0,1.0,29.0,0.0,27.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 11:55:00,,,33.3,28.7,30.23333333333333,27.46666666666667,28.6,"[28.6, 26.6, 27.2]",1.0,33.3,5.9,27.5,25.0,1.0,28.7,0.1,26.0,25.0,1.0,28.7,3.2,27.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 12:00:00,,,32.2,29.6,30.46666666666667,27.4,28.7,"[28.7, 26.4, 27.1]",1.0,32.2,5.7,26.8,25.0,1.0,29.6,3.3,27.0,25.0,1.0,29.6,0.0,26.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 12:05:00,,,32.4,28.8,30.0,27.366666666666664,28.2,"[28.2, 26.6, 27.3]",1.0,32.4,5.8,26.3,25.0,1.0,28.8,0.1,24.0,25.0,1.0,28.8,0.1,27.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 12:10:00,,,31.7,28.8,29.766666666666666,27.366666666666664,28.4,"[28.4, 26.6, 27.1]",1.0,31.7,5.7,26.0,25.0,1.0,28.8,0.1,26.0,25.0,1.0,28.8,3.2,24.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 12:15:00,,,34.3,28.4,30.366666666666664,27.2,27.8,"[27.8, 26.4, 27.4]",1.0,34.3,5.6,25.6,25.0,1.0,28.4,0.1,23.0,25.0,1.0,28.4,0.0,26.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 12:20:00,,,34.2,29.1,30.8,27.666666666666668,28.3,"[28.3, 26.6, 28.1]",1.0,34.2,5.4,25.6,25.0,1.0,29.1,0.1,26.0,25.0,1.0,29.1,0.0,27.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 12:25:00,,,34.2,29.3,30.933333333333334,27.7,28.6,"[28.6, 26.6, 27.9]",1.0,34.2,5.6,26.0,25.0,1.0,29.3,0.1,27.0,25.0,1.0,29.3,3.2,24.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 12:30:00,,,35.5,29.1,31.23333333333333,27.566666666666663,28.4,"[28.4, 26.4, 27.9]",1.0,35.5,5.8,25.9,25.0,1.0,29.1,3.3,25.0,25.0,1.0,29.1,0.0,26.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 12:35:00,,,34.3,29.1,30.83333333333333,27.73333333333333,28.3,"[28.3, 26.6, 28.3]",1.0,34.3,5.6,26.1,25.0,1.0,29.1,0.1,26.0,25.0,1.0,29.1,0.4,27.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 12:40:00,,,34.2,29.1,30.8,27.53333333333333,28.4,"[28.4, 26.3, 27.9]",1.0,34.2,5.7,25.4,25.0,1.0,29.1,3.3,25.0,25.0,1.0,29.1,0.1,23.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 12:45:00,,,34.9,28.7,30.766666666666666,27.5,28.0,"[28.0, 26.5, 28.0]",1.0,34.9,5.7,25.5,25.0,1.0,28.7,0.1,25.0,25.0,1.0,28.7,0.0,27.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 12:50:00,,,34.7,29.1,30.96666666666667,27.866666666666664,28.5,"[28.5, 26.6, 28.5]",1.0,34.7,5.5,26.5,25.0,1.0,29.1,0.1,26.0,25.0,1.0,29.1,3.3,27.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 12:55:00,,,34.7,29.6,31.3,27.73333333333333,28.7,"[28.7, 26.4, 28.1]",1.0,34.7,5.6,25.5,25.0,1.0,29.6,3.7,27.0,25.0,1.0,29.6,0.1,24.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 13:00:00,,,34.8,28.8,30.8,27.666666666666668,28.3,"[28.3, 26.6, 28.1]",1.0,34.8,5.7,25.4,25.0,1.0,28.8,0.1,25.0,25.0,1.0,28.8,0.0,27.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 13:05:00,,,34.8,28.8,30.8,27.73333333333333,28.6,"[28.6, 26.7, 27.9]",1.0,34.8,5.7,26.3,25.0,1.0,28.8,0.1,27.0,25.0,1.0,28.8,3.2,26.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 13:10:00,,,34.4,29.5,31.133333333333336,27.7,28.8,"[28.8, 26.4, 27.9]",1.0,34.4,5.7,25.8,25.0,1.0,29.5,0.1,26.0,25.0,1.0,29.5,0.1,23.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 13:15:00,,,34.7,29.4,31.166666666666668,27.83333333333333,28.7,"[28.7, 26.5, 28.3]",1.0,34.7,1.5,25.7,25.0,1.0,29.4,3.3,24.0,25.0,1.0,29.4,0.0,27.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 13:20:00,,,34.4,29.1,30.866666666666664,27.8,28.4,"[28.4, 26.7, 28.3]",1.0,34.4,5.7,26.1,25.0,1.0,29.1,0.1,26.0,25.0,1.0,29.1,3.1,27.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 13:25:00,,,34.4,28.8,30.666666666666668,27.7,28.4,"[28.3, 26.4, 28.4]",1.0,34.4,1.5,26.6,25.0,1.0,28.8,3.3,23.0,25.0,1.0,28.8,0.1,26.0,25.0,0.0,3.9,0.0,0.0
2023-05-30 13:30:00,,,35.6,28.8,31.066666666666663,27.8,28.6,"[28.2, 26.6, 28.6]",1.0,35.6,5.5,26.1,25.0,1.0,28.8,0.1,25.0,25.0,1.0,28.8,3.4,27.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 13:35:00,,,34.6,29.2,31.0,27.7,28.6,"[28.6, 26.4, 28.1]",1.0,34.6,5.8,25.9,25.0,1.0,29.2,0.1,26.0,25.0,1.0,29.2,0.1,24.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 13:40:00,,,34.3,29.7,31.23333333333333,27.83333333333333,28.8,"[28.8, 26.5, 28.2]",1.0,34.3,5.9,26.0,25.0,1.0,29.7,3.6,27.0,25.0,1.0,29.7,0.0,27.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 13:45:00,,,34.3,29.7,31.23333333333333,27.633333333333336,28.2,"[28.2, 26.7, 28.0]",1.0,34.3,5.8,26.4,25.0,1.0,29.7,0.1,24.0,25.0,1.0,29.7,3.3,27.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 13:50:00,,,34.3,29.5,31.1,27.666666666666668,28.6,"[28.6, 26.4, 28.0]",1.0,34.3,5.8,25.7,25.0,1.0,29.5,0.1,27.0,25.0,1.0,29.5,0.1,25.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 13:55:00,,,34.7,29.5,31.23333333333333,28.03333333333333,28.9,"[28.9, 26.6, 28.6]",1.0,34.7,1.5,26.4,25.0,1.0,29.5,0.1,27.0,25.0,1.0,29.5,0.0,27.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 14:00:00,,,34.4,29.4,31.066666666666663,27.96666666666667,28.8,"[28.8, 26.7, 28.4]",1.0,34.4,5.7,26.3,25.0,1.0,29.4,3.4,24.0,25.0,1.0,29.4,3.2,27.0,25.0,0.0,4.1,0.0,0.0
2023-05-30 14:05:00,,,35.2,29.1,31.133333333333336,27.666666666666668,28.5,"[28.5, 26.4, 28.1]",1.0,35.2,5.7,25.8,25.0,1.0,29.1,0.1,26.0,25.0,1.0,29.1,0.1,24.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 14:10:00,,,34.6,28.8,30.73333333333333,27.7,28.3,"[28.3, 26.6, 28.2]",1.0,34.6,5.7,25.9,25.0,1.0,28.8,3.4,23.0,23.0,1.0,28.8,3.2,26.0,23.0,0.0,4.1,0.0,0.0
2023-05-30 14:15:00,,,34.8,28.8,30.8,27.53333333333333,28.1,"[28.1, 26.4, 28.1]",1.0,34.8,5.8,25.7,25.0,1.0,28.8,0.1,25.0,25.0,1.0,28.8,0.1,24.0,25.0,0.0,4.1,0.0,0.0
2023-05-30 14:20:00,,,34.9,29.3,31.166666666666668,27.76666666666667,28.6,"[28.6, 26.6, 28.1]",1.0,34.9,5.7,25.9,25.0,1.0,29.3,0.1,26.0,25.0,1.0,29.3,0.0,27.0,25.0,0.0,4.1,0.0,0.0
2023-05-30 14:25:00,,,34.4,29.7,31.266666666666666,27.866666666666664,28.8,"[28.8, 26.7, 28.1]",1.0,34.4,5.8,26.0,25.0,1.0,29.7,3.2,27.0,25.0,1.0,29.7,3.3,27.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 14:30:00,,,35.6,29.7,31.666666666666668,27.633333333333336,28.2,"[28.2, 26.5, 28.2]",1.0,35.6,5.7,25.9,25.0,1.0,29.7,0.1,24.0,25.0,1.0,29.7,0.1,24.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 14:35:00,,,34.1,29.5,31.03333333333333,27.83333333333333,28.6,"[28.6, 26.6, 28.3]",1.0,34.1,1.5,25.3,25.0,1.0,29.5,0.1,27.0,25.0,1.0,29.5,0.0,27.0,25.0,0.0,4.1,0.0,0.0
2023-05-30 14:40:00,,,34.8,29.5,31.266666666666666,27.96666666666667,28.8,"[28.8, 26.5, 28.6]",1.0,34.8,5.6,26.6,25.0,1.0,29.5,0.1,27.0,25.0,1.0,29.5,3.3,23.0,25.0,0.0,4.1,0.0,0.0
2023-05-30 14:45:00,,,34.5,29.3,31.03333333333333,27.8,28.7,"[28.7, 26.5, 28.2]",1.0,34.5,5.7,25.3,25.0,1.0,29.3,3.4,24.0,25.0,1.0,29.3,0.0,27.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 14:50:00,,,35.4,29.2,31.266666666666666,27.83333333333333,28.5,"[28.5, 26.7, 28.3]",1.0,35.4,5.8,25.8,25.0,1.0,29.2,0.1,26.0,25.0,1.0,29.2,0.1,27.0,25.0,0.0,4.1,0.0,0.0
2023-05-30 14:55:00,,,34.3,29.0,30.766666666666666,27.633333333333336,28.3,"[28.3, 26.6, 28.0]",1.0,34.3,5.7,25.8,25.0,1.0,29.0,3.4,23.0,25.0,1.0,29.0,3.4,23.0,25.0,0.0,4.2,0.0,0.0
2023-05-30 15:00:00,,,35.2,29.0,31.066666666666663,27.7,28.4,"[28.4, 26.6, 28.1]",1.0,35.2,5.7,25.5,25.0,1.0,29.0,0.1,26.0,25.0,1.0,29.0,0.0,27.0,25.0,0.0,4.1,0.0,0.0
2023-05-30 15:05:00,,,34.4,29.3,31.0,27.96666666666667,28.8,"[28.8, 26.7, 28.4]",1.0,34.4,1.5,26.2,25.0,1.0,29.3,0.1,26.0,25.0,1.0,29.3,0.1,27.0,25.0,0.0,4.1,0.0,0.0
2023-05-30 15:10:00,,,34.8,29.8,31.466666666666665,27.96666666666667,28.9,"[28.9, 26.6, 28.4]",1.0,34.8,5.6,25.8,25.0,1.0,29.8,3.3,26.0,25.0,1.0,29.8,0.1,23.0,25.0,0.0,4.1,0.0,0.0
2023-05-30 15:15:00,,,35.2,28.9,31.0,27.8,28.4,"[28.4, 26.6, 28.4]",1.0,35.2,5.7,25.8,25.0,1.0,28.9,0.1,25.0,25.0,1.0,28.9,0.0,27.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 15:20:00,,,35.0,29.6,31.399999999999995,27.933333333333334,28.7,"[28.7, 26.8, 28.3]",1.0,35.0,5.8,26.4,25.0,1.0,29.6,3.3,27.0,25.0,1.0,29.6,0.4,27.0,25.0,0.0,4.1,0.0,0.0
2023-05-30 15:25:00,,,34.8,28.7,30.73333333333333,27.7,28.3,"[28.2, 26.6, 28.3]",1.0,34.8,1.5,25.9,25.0,1.0,28.7,0.1,25.0,25.0,1.0,28.7,0.1,23.0,25.0,0.0,4.1,0.0,0.0
