time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3835716_c,3835716_h,3835716_r,3835716_s,3835717_c,3835717_h,3835717_r,3835717_s,3835718_c,3835718_h,3835718_r,3835718_s,3835719_c,3835719_h,3835719_r,3835719_s,3835720_c,3835720_h,3835720_r,3835720_s
2023-05-30 10:25:00,,36.1,26.6,31.24,26.2,26.2,[26.2],1.0,28.7,25.0,24.0,1.0,36.1,25.0,24.0,1.0,26.6,25.0,24.0,1.0,28.7,26.0,25.0,1.0,36.1,26.0,24.0
2023-05-30 10:30:00,,36.1,26.2,31.0,26.1,26.1,[26.1],1.0,28.3,24.0,24.0,1.0,36.1,26.0,24.0,1.0,26.2,24.0,24.0,1.0,28.3,26.0,25.0,1.0,36.1,26.0,24.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,36.0,26.2,30.84,25.7,25.7,[25.7],1.0,28.0,24.0,24.0,1.0,36.0,25.0,24.0,1.0,26.2,24.0,24.0,1.0,28.0,26.0,25.0,1.0,36.0,26.0,24.0
2023-05-30 10:45:00,,36.0,26.6,30.92,25.8,25.8,[25.8],1.0,28.0,26.0,24.0,1.0,36.0,26.0,24.0,1.0,26.6,26.0,24.0,1.0,28.0,26.0,25.0,1.0,36.0,26.0,24.0
2023-05-30 10:50:00,,36.1,26.9,31.1,26.1,26.1,[26.1],1.0,28.2,26.0,24.0,1.0,36.1,25.0,24.0,1.0,26.9,26.0,24.0,1.0,28.2,27.0,25.0,1.0,36.1,26.0,24.0
2023-05-30 10:55:00,,36.0,26.4,31.08,26.2,26.2,[26.2],1.0,28.5,25.0,24.0,1.0,36.0,25.0,24.0,1.0,26.4,25.0,24.0,1.0,28.5,26.0,25.0,1.0,36.0,26.0,24.0
2023-05-30 11:00:00,,36.0,26.4,31.0,26.1,26.1,[26.1],1.0,28.3,24.0,24.0,1.0,36.0,25.0,24.0,1.0,26.4,24.0,24.0,1.0,28.3,26.0,25.0,1.0,36.0,25.0,24.0
2023-05-30 11:05:00,,36.0,26.5,30.98,26.1,26.1,[26.1],1.0,28.2,25.0,24.0,1.0,36.0,25.0,24.0,1.0,26.5,25.0,24.0,1.0,28.2,26.0,25.0,1.0,36.0,26.0,24.0
2023-05-30 11:10:00,,36.0,26.9,31.06,26.3,26.3,[26.3],1.0,28.2,26.0,24.0,1.0,36.0,25.0,24.0,1.0,26.9,26.0,24.0,1.0,28.2,27.0,25.0,1.0,36.0,26.0,24.0
2023-05-30 11:15:00,,36.0,26.9,31.18,26.2,26.2,[26.2],1.0,28.5,25.0,24.0,1.0,36.0,25.0,24.0,1.0,26.9,25.0,24.0,1.0,28.5,26.0,25.0,1.0,36.0,26.0,24.0
2023-05-30 11:20:00,,36.0,26.4,31.08,26.2,26.2,[26.2],1.0,28.5,25.0,24.0,1.0,36.0,25.0,24.0,1.0,26.4,24.0,24.0,1.0,28.5,26.0,25.0,1.0,36.0,26.0,24.0
2023-05-30 11:25:00,,36.0,26.1,30.86,26.1,26.1,[26.1],1.0,28.1,24.0,24.0,1.0,36.0,25.0,24.0,1.0,26.1,24.0,24.0,1.0,28.1,26.0,25.0,1.0,36.0,26.0,24.0
2023-05-30 11:30:00,,36.0,26.1,30.82,26.2,26.2,[26.2],1.0,28.0,25.0,24.0,1.0,36.0,25.0,24.0,1.0,26.1,26.0,24.0,1.0,28.0,26.0,25.0,1.0,36.0,25.0,24.0
2023-05-30 11:35:00,,36.0,26.5,30.98,26.0,26.0,[26.0],1.0,28.2,25.0,24.0,1.0,36.0,25.0,24.0,1.0,26.5,25.0,24.0,1.0,28.2,26.0,25.0,1.0,36.0,26.0,24.0
2023-05-30 11:40:00,,36.1,26.5,31.14,26.3,26.3,[26.3],1.0,28.5,25.0,24.0,1.0,36.1,25.0,24.0,1.0,26.5,25.0,24.0,1.0,28.5,26.0,25.0,1.0,36.1,26.0,24.0
