time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3812492_c,3812492_h,3812492_p,3812492_r,3812492_s,3816385_h
2023-05-30 14:25:00,,4.51,30.6,30.6,30.6,29.0,29.0,[29.0],,30.6,0.55,27.0,28.0,30.6
2023-05-30 14:30:00,,4.49,30.7,30.7,30.7,29.3,29.3,[29.3],,30.7,0.55,27.5,28.0,30.7
2023-05-30 14:35:00,,4.7,30.9,30.9,30.9,29.3,29.3,[29.3],,30.9,0.55,27.0,28.0,30.9
2023-05-30 14:40:00,,4.48,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.54,27.0,28.0,30.8
2023-05-30 14:45:00,,4.61,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.55,27.5,28.0,30.8
2023-05-30 14:50:00,,4.42,30.8,30.8,30.8,29.4,29.4,[29.4],,30.8,0.54,28.0,28.0,30.8
2023-05-30 14:55:00,,4.32,30.9,30.9,30.9,29.4,29.4,[29.4],,30.9,0.55,27.5,28.0,30.9
2023-05-30 15:00:00,,4.38,30.9,30.9,30.9,29.2,29.2,[29.2],,30.9,0.54,27.0,28.0,30.9
2023-05-30 15:05:00,,4.34,30.6,30.6,30.6,29.1,29.1,[29.1],,30.6,0.55,27.0,28.0,30.6
2023-05-30 15:10:00,,4.3,30.7,30.7,30.7,29.4,29.4,[29.4],,30.7,0.54,28.0,28.0,30.7
2023-05-30 15:15:00,,4.33,30.9,30.9,30.9,29.5,29.5,[29.5],,30.9,0.55,27.5,28.0,30.9
2023-05-30 15:20:00,,4.27,30.8,30.8,30.8,29.3,29.3,[29.3],,30.8,0.55,27.0,28.0,30.8
2023-05-30 15:25:00,,4.28,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.55,27.0,28.0,30.8
2023-05-30 15:30:00,,4.29,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.55,27.5,28.0,30.8
2023-05-30 15:35:00,,4.29,30.8,30.8,30.8,29.4,29.4,[29.4],,30.8,0.54,27.5,28.0,30.8
2023-05-30 15:40:00,,4.26,30.8,30.8,30.8,29.4,29.4,[29.4],,30.8,0.55,27.0,28.0,30.8
2023-05-30 15:45:00,,4.45,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.55,27.0,28.0,30.8
2023-05-30 15:50:00,,4.27,30.6,30.6,30.6,29.1,29.1,[29.1],,30.6,0.55,27.0,28.0,30.6
2023-05-30 15:55:00,,4.27,30.7,30.7,30.7,29.4,29.4,[29.4],,30.7,0.55,27.5,28.0,30.7
2023-05-30 16:00:00,,4.26,30.8,30.8,30.8,29.5,29.5,[29.5],,30.8,0.55,27.0,28.0,30.8
2023-05-30 16:05:00,,4.27,30.8,30.8,30.8,29.3,29.3,[29.3],,30.8,0.55,27.0,28.0,30.8
2023-05-30 16:10:00,,4.33,30.7,30.7,30.7,29.1,29.1,[29.1],,30.7,0.55,27.0,28.0,30.7
2023-05-30 16:15:00,,4.46,30.8,30.8,30.8,29.4,29.4,[29.4],,30.8,0.54,27.5,28.0,30.8
2023-05-30 16:20:00,,4.43,30.9,30.9,30.9,29.5,29.5,[29.5],,30.9,0.55,27.5,28.0,30.9
2023-05-30 16:25:00,,4.41,30.9,30.9,30.9,29.3,29.3,[29.3],,30.9,0.55,27.0,28.0,30.9
2023-05-30 16:30:00,,4.4,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.54,27.0,28.0,30.8
2023-05-30 16:35:00,,4.29,30.6,30.6,30.6,29.1,29.1,[29.1],,30.6,0.54,27.0,28.0,30.6
2023-05-30 16:40:00,,4.39,30.8,30.8,30.8,29.5,29.5,[29.5],,30.8,0.54,28.0,28.0,30.8
2023-05-30 16:45:00,,4.47,30.9,30.9,30.9,29.4,29.4,[29.4],,30.9,0.54,27.0,28.0,30.9
2023-05-30 16:50:00,,4.37,30.9,30.9,30.9,29.3,29.3,[29.3],,30.9,0.54,27.0,28.0,30.9
2023-05-30 16:55:00,,4.28,30.7,30.7,30.7,29.2,29.2,[29.2],,30.7,0.54,27.0,28.0,30.7
2023-05-30 17:00:00,,4.38,30.6,30.6,30.6,29.2,29.2,[29.2],,30.6,0.54,27.5,28.0,30.6
2023-05-30 17:05:00,,4.36,30.8,30.8,30.8,29.5,29.5,[29.5],,30.8,0.54,27.5,28.0,30.8
2023-05-30 17:10:00,,4.31,31.0,31.0,31.0,29.4,29.4,[29.4],,31.0,0.54,27.5,28.0,31.0
2023-05-30 17:15:00,,4.36,30.9,30.9,30.9,29.3,29.3,[29.3],,30.9,0.54,27.0,28.0,30.9
2023-05-30 17:20:00,,4.63,30.7,30.7,30.7,29.2,29.2,[29.2],,30.7,0.54,27.0,28.0,30.7
2023-05-30 17:25:00,,4.48,30.8,30.8,30.8,29.5,29.5,[29.5],,30.8,0.54,28.0,28.0,30.8
