time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,46061_c,46061_h,46061_r,46061_s,46068_c,46068_h,46068_r,46068_s,46071_c,46071_h,46071_r,46071_s,583987_c,583987_h,583987_r,583987_s,583988_c,583988_h,583988_r,583988_s
2023-05-30 14:30:00,,101.0,23.9,21.8,23.18,24.8,24.8,[24.8],1.0,23.9,25.0,19.0,1.0,23.2,27.0,20.0,1.0,23.9,25.0,21.0,1.0,23.1,25.0,21.0,1.0,21.8,26.0,20.0
2023-05-30 14:35:00,,100.0,23.6,21.8,23.04,24.8,24.8,[24.8],1.0,23.6,26.0,19.0,1.0,23.1,27.0,20.0,1.0,23.6,25.0,21.0,1.0,23.1,25.0,21.0,1.0,21.8,26.0,20.0
2023-05-30 14:40:00,,100.0,24.1,21.8,23.24,24.9,24.9,[24.9],1.0,24.1,25.0,19.0,1.0,23.2,27.0,20.0,1.0,24.1,26.0,21.0,1.0,23.0,26.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 14:45:00,,100.0,23.9,22.0,23.1,24.7,24.7,[24.7],1.0,23.9,25.0,19.0,1.0,23.2,26.0,20.0,1.0,23.4,25.0,21.0,1.0,23.0,25.0,21.0,1.0,22.0,26.0,20.0
2023-05-30 14:50:00,,100.0,23.5,21.6,22.92,24.7,24.7,[24.7],1.0,23.5,26.0,19.0,1.0,23.1,27.0,20.0,1.0,23.4,26.0,21.0,1.0,23.0,26.0,21.0,1.0,21.6,27.0,20.0
2023-05-30 14:55:00,,101.0,23.8,21.9,23.1,24.8,24.8,[24.8],1.0,23.8,26.0,19.0,1.0,23.1,27.0,20.0,1.0,23.7,25.0,21.0,1.0,23.0,25.0,21.0,1.0,21.9,27.0,20.0
2023-05-30 15:00:00,,100.0,23.8,21.9,23.120000000000005,24.8,24.8,[24.8],1.0,23.8,25.0,19.0,1.0,23.1,27.0,20.0,1.0,23.7,25.0,21.0,1.0,23.1,25.0,21.0,1.0,21.9,27.0,20.0
2023-05-30 15:05:00,,100.0,24.0,21.9,23.24,24.8,24.8,[24.8],1.0,24.0,25.0,19.0,1.0,23.2,27.0,20.0,1.0,24.0,26.0,21.0,1.0,23.1,26.0,21.0,1.0,21.9,27.0,20.0
2023-05-30 15:10:00,,100.0,23.8,21.9,23.06,24.7,24.7,[24.7],1.0,23.8,26.0,19.0,1.0,23.2,27.0,20.0,1.0,23.4,25.0,21.0,1.0,23.0,25.0,21.0,1.0,21.9,26.0,20.0
2023-05-30 15:15:00,,100.0,23.5,21.8,22.96,24.8,24.8,[24.8],1.0,23.5,26.0,19.0,1.0,23.1,27.0,20.0,1.0,23.4,26.0,21.0,1.0,23.0,26.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 15:20:00,,100.0,23.7,21.8,23.08,24.8,24.8,[24.8],1.0,23.7,25.0,19.0,1.0,23.2,27.0,20.0,1.0,23.7,25.0,21.0,1.0,23.0,25.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 15:25:00,,100.0,23.7,21.9,23.1,24.8,24.8,[24.8],1.0,23.7,25.0,19.0,1.0,23.2,27.0,20.0,1.0,23.6,25.0,21.0,1.0,23.1,25.0,21.0,1.0,21.9,27.0,20.0
2023-05-30 15:30:00,,100.0,23.6,21.9,23.06,24.8,24.8,[24.8],1.0,23.6,26.0,19.0,1.0,23.2,27.0,20.0,1.0,23.5,26.0,21.0,1.0,23.1,26.0,21.0,1.0,21.9,26.0,20.0
2023-05-30 15:35:00,,100.0,23.6,21.8,23.02,24.8,24.8,[24.8],1.0,23.6,26.0,19.0,1.0,23.2,26.0,20.0,1.0,23.4,25.0,21.0,1.0,23.1,25.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 15:40:00,,101.0,23.7,21.7,23.06,24.8,24.8,[24.8],1.0,23.7,25.0,19.0,1.0,23.2,26.0,20.0,1.0,23.7,26.0,21.0,1.0,23.0,26.0,21.0,1.0,21.7,27.0,20.0
2023-05-30 15:45:00,,99.0,23.7,21.7,23.08,24.7,24.7,[24.7],1.0,23.7,26.0,19.0,1.0,23.2,26.0,20.0,1.0,23.7,25.0,21.0,1.0,23.1,25.0,21.0,1.0,21.7,26.0,20.0
2023-05-30 15:50:00,,100.0,23.9,22.0,23.02,25.0,25.0,[25.0],1.0,23.9,26.0,19.0,1.0,22.9,27.0,20.0,1.0,23.3,25.0,21.0,1.0,23.0,25.0,21.0,1.0,22.0,27.0,20.0
2023-05-30 15:55:00,,100.0,24.2,21.8,23.24,24.9,24.9,[24.9],1.0,24.2,26.0,19.0,1.0,23.6,27.0,20.0,1.0,23.5,26.0,21.0,1.0,23.1,26.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 16:00:00,,100.0,24.0,21.8,23.08,24.7,24.7,[24.7],1.0,24.0,25.0,19.0,1.0,23.3,26.0,20.0,1.0,23.2,25.0,21.0,1.0,23.1,25.0,21.0,1.0,21.8,26.0,20.0
2023-05-30 16:05:00,,100.0,23.7,22.0,23.0,24.9,24.9,[24.9],1.0,23.7,26.0,19.0,1.0,23.0,27.0,20.0,1.0,23.2,26.0,21.0,1.0,23.1,26.0,21.0,1.0,22.0,27.0,20.0
2023-05-30 16:10:00,,100.0,24.0,22.0,23.2,24.8,24.8,[24.8],1.0,24.0,26.0,19.0,1.0,23.0,27.0,20.0,1.0,23.9,26.0,21.0,1.0,23.1,26.0,21.0,1.0,22.0,26.0,20.0
2023-05-30 16:15:00,,100.0,23.7,21.8,23.0,24.8,24.8,[24.8],1.0,23.7,25.0,19.0,1.0,22.9,26.0,20.0,1.0,23.5,25.0,21.0,1.0,23.1,25.0,21.0,1.0,21.8,26.0,20.0
2023-05-30 16:20:00,,100.0,23.8,21.8,23.04,24.8,24.8,[24.8],1.0,23.8,26.0,19.0,1.0,22.9,27.0,20.0,1.0,23.6,26.0,21.0,1.0,23.1,25.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 16:25:00,,100.0,23.6,21.8,22.98,24.7,24.7,[24.7],1.0,23.6,26.0,19.0,1.0,23.0,27.0,20.0,1.0,23.4,25.0,21.0,1.0,23.1,25.0,21.0,1.0,21.8,26.0,20.0
2023-05-30 16:30:00,,100.0,23.6,21.8,22.94,24.8,24.8,[24.8],1.0,23.6,26.0,19.0,1.0,22.8,27.0,20.0,1.0,23.4,26.0,21.0,1.0,23.1,26.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 16:35:00,,100.0,23.9,22.0,23.18,24.7,24.7,[24.7],1.0,23.9,25.0,19.0,1.0,22.9,26.0,20.0,1.0,23.9,26.0,21.0,1.0,23.2,26.0,21.0,1.0,22.0,26.0,20.0
2023-05-30 16:40:00,,100.0,23.9,21.9,23.14,24.7,24.7,[24.7],1.0,23.9,25.0,19.0,1.0,22.9,27.0,20.0,1.0,23.9,25.0,21.0,1.0,23.1,25.0,21.0,1.0,21.9,26.0,20.0
2023-05-30 16:45:00,,100.0,23.8,21.9,23.06,24.7,24.7,[24.7],1.0,23.8,26.0,19.0,1.0,22.9,27.0,20.0,1.0,23.6,26.0,21.0,1.0,23.1,26.0,21.0,1.0,21.9,26.0,20.0
2023-05-30 16:50:00,,100.0,23.7,21.8,23.0,24.8,24.8,[24.8],1.0,23.7,25.0,19.0,1.0,22.8,26.0,20.0,1.0,23.6,25.0,21.0,1.0,23.1,25.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 16:55:00,,100.0,23.7,21.8,23.0,24.6,24.6,[24.6],1.0,23.7,25.0,19.0,1.0,22.8,26.0,20.0,1.0,23.6,26.0,21.0,1.0,23.1,26.0,21.0,1.0,21.8,26.0,20.0
2023-05-30 17:00:00,,99.0,23.7,21.7,22.96,24.7,24.7,[24.7],1.0,23.7,26.0,19.0,1.0,22.8,26.0,20.0,1.0,23.6,26.0,21.0,1.0,23.0,25.0,21.0,1.0,21.7,26.0,20.0
2023-05-30 17:05:00,,99.0,23.7,21.7,22.94,24.9,24.9,[24.9],1.0,23.7,26.0,19.0,1.0,23.1,27.0,20.0,1.0,23.2,25.0,21.0,1.0,23.0,25.0,21.0,1.0,21.7,27.0,20.0
2023-05-30 17:10:00,,100.0,24.2,21.7,23.14,25.1,25.1,[25.1],1.0,24.2,25.0,19.0,1.0,23.6,26.0,20.0,1.0,23.2,26.0,21.0,1.0,23.0,26.0,21.0,1.0,21.7,27.0,20.0
2023-05-30 17:15:00,,100.0,24.0,21.7,23.08,25.1,25.1,[25.1],1.0,24.0,25.0,19.0,1.0,23.6,26.0,20.0,1.0,23.1,25.0,21.0,1.0,23.0,25.0,21.0,1.0,21.7,27.0,20.0
2023-05-30 17:20:00,,100.0,24.0,21.7,23.24,25.1,25.1,[25.1],1.0,24.0,26.0,19.0,1.0,23.3,27.0,20.0,1.0,24.0,26.0,21.0,1.0,23.2,26.0,21.0,1.0,21.7,27.0,20.0
2023-05-30 17:25:00,,100.0,24.2,21.8,23.28,25.0,25.0,[25.0],1.0,24.2,25.0,19.0,1.0,23.2,27.0,20.0,1.0,24.0,25.0,21.0,1.0,23.2,25.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 17:30:00,,100.0,23.8,21.8,23.1,24.9,24.9,[24.9],1.0,23.8,25.0,19.0,1.0,23.2,26.0,20.0,1.0,23.5,25.0,21.0,1.0,23.2,25.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 17:35:00,,100.0,24.0,21.7,23.08,25.0,25.0,[25.0],1.0,24.0,25.0,19.0,1.0,23.1,27.0,20.0,1.0,23.5,26.0,21.0,1.0,23.1,26.0,21.0,1.0,21.7,27.0,20.0
2023-05-30 17:40:00,,99.0,24.0,21.8,23.1,24.9,24.9,[24.9],1.0,24.0,26.0,19.0,1.0,23.1,26.0,20.0,1.0,23.4,25.0,21.0,1.0,23.2,25.0,21.0,1.0,21.8,26.0,20.0
2023-05-30 17:45:00,,100.0,23.9,21.9,23.12,24.9,24.9,[24.9],1.0,23.9,26.0,19.0,1.0,23.1,27.0,20.0,1.0,23.6,26.0,21.0,1.0,23.1,26.0,21.0,1.0,21.9,26.0,20.0
2023-05-30 17:50:00,,101.0,23.8,21.8,23.06,24.8,24.8,[24.8],1.0,23.8,25.0,19.0,1.0,23.0,27.0,20.0,1.0,23.6,25.0,21.0,1.0,23.1,25.0,21.0,1.0,21.8,27.0,20.0
2023-05-30 17:55:00,,99.0,23.9,21.8,23.16,24.8,24.8,[24.8],1.0,23.9,25.0,19.0,1.0,23.0,26.0,20.0,1.0,23.9,25.0,21.0,1.0,23.2,25.0,21.0,1.0,21.8,26.0,20.0
2023-05-30 18:00:00,,100.0,23.7,22.0,23.02,24.9,24.9,[24.9],1.0,23.7,26.0,19.0,1.0,22.9,27.0,20.0,1.0,23.4,26.0,21.0,1.0,23.1,26.0,21.0,1.0,22.0,27.0,20.0
