time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,43294_c,43294_p,43294_r,43294_s,43295_c,43295_h,43295_p,43295_r,43295_s
2023-05-30 12:25:00,,26.0,30.8,30.8,30.8,26.3,26.3,[26.3],1.0,3.99,25.8,27.0,1.0,30.8,26.76,26.2,27.0
2023-05-30 12:30:00,,26.0,31.2,31.2,31.2,26.3,26.3,[26.3],1.0,3.99,25.5,27.0,1.0,31.2,26.28,25.9,27.0
2023-05-30 12:35:00,,26.0,31.2,31.2,31.2,26.4,26.4,[26.4],1.0,3.99,26.8,27.0,1.0,31.2,26.76,26.9,27.0
2023-05-30 12:40:00,,26.0,31.5,31.5,31.5,25.8,25.8,[25.8],1.0,5.0,25.0,27.0,1.0,31.5,26.16,24.6,27.0
2023-05-30 12:45:00,,26.0,30.7,30.7,30.7,25.8,25.8,[25.8],1.0,3.99,25.8,27.0,1.0,30.7,2.82,25.7,27.0
2023-05-30 12:50:00,,26.0,31.2,31.2,31.2,26.2,26.2,[26.2],1.0,3.99,26.3,27.0,1.0,31.2,26.28,26.6,27.0
2023-05-30 12:55:00,,26.0,31.3,31.3,31.3,26.3,26.3,[26.3],1.0,3.99,25.9,27.0,1.0,31.3,26.76,26.1,27.0
2023-05-30 13:00:00,,26.0,31.3,31.3,31.3,26.3,26.3,[26.3],1.0,3.99,25.5,27.0,1.0,31.3,26.76,25.9,27.0
2023-05-30 13:05:00,,26.0,31.3,31.3,31.3,26.4,26.4,[26.4],1.0,47.83,26.6,27.0,1.0,31.3,25.86,26.7,27.0
2023-05-30 13:10:00,,26.0,31.5,31.5,31.5,25.6,25.6,[25.6],1.0,5.0,24.9,27.0,1.0,31.5,26.7,24.1,27.0
2023-05-30 13:15:00,,26.0,30.5,30.5,30.5,25.8,25.8,[25.8],1.0,5.0,26.2,27.0,1.0,30.5,2.82,25.3,27.0
2023-05-30 13:20:00,,26.0,30.6,30.6,30.6,26.2,26.2,[26.2],1.0,3.99,25.9,27.0,1.0,30.6,26.76,26.2,27.0
2023-05-30 13:25:00,,26.0,31.0,31.0,31.0,26.2,26.2,[26.2],1.0,3.99,25.7,27.0,1.0,31.0,26.94,25.8,27.0
2023-05-30 13:30:00,,26.0,31.1,31.1,31.1,26.3,26.3,[26.3],1.0,3.99,27.0,27.0,1.0,31.1,2.76,26.9,27.0
2023-05-30 13:35:00,,26.0,31.3,31.3,31.3,26.4,26.4,[26.4],1.0,3.99,26.0,27.0,1.0,31.3,26.4,26.2,27.0
2023-05-30 13:40:00,,26.0,31.4,31.4,31.4,26.4,26.4,[26.4],1.0,3.99,25.5,27.0,1.0,31.4,26.82,26.0,27.0
2023-05-30 13:45:00,,26.0,31.5,31.5,31.5,26.2,26.2,[26.2],1.0,46.83,26.0,27.0,1.0,31.5,26.4,24.9,27.0
2023-05-30 13:50:00,,26.0,31.0,31.0,31.0,25.6,25.6,[25.6],1.0,5.0,25.1,27.0,1.0,31.0,26.4,24.9,27.0
2023-05-30 13:55:00,,26.0,30.6,30.6,30.6,25.9,25.9,[25.9],1.0,5.0,26.7,27.0,1.0,30.6,2.82,26.5,27.0
2023-05-30 14:00:00,,26.0,30.8,30.8,30.8,26.2,26.2,[26.2],1.0,5.0,25.8,27.0,1.0,30.8,26.64,26.1,27.0
2023-05-30 14:05:00,,26.0,31.1,31.1,31.1,26.2,26.2,[26.2],1.0,5.0,25.5,27.0,1.0,31.1,2.82,25.9,27.0
2023-05-30 14:10:00,,26.0,31.1,31.1,31.1,26.2,26.2,[26.2],1.0,47.84,25.9,27.0,1.0,31.1,26.34,25.2,27.0
2023-05-30 14:15:00,,26.0,31.4,31.4,31.4,25.7,25.7,[25.7],1.0,5.0,25.1,27.0,1.0,31.4,26.28,25.1,27.0
