dc_id,time,day_id,room_id,acu_id,setting_t,setting_h,cp_status,fan_speed,return_t,fd_status,fd_degree,fan_rated_power,fan_min_power,fd_degree_set,temp,group_temp,outdoor_t,outdoor_h,active_power,it_power,air_power,pue,mark_cp_status,mark_fan_min_power,mark_fan_rated_power,mark_fd_degree_set,mark_setting_t
371109900000000020253889,2022041400,20220414,371109900000000010181992,371109900000000010181992401053,25.00,40.00,1,44.00,26.4,1.0,40.0,44.0,70.0,40.00,21.28125,"[21.1875, 21.1875, 21.1875, 21.1875, 21.1875, 21.1875, 21.28125, 21.28125, 21.28125, 21.28125, 21.28125, 21.28125]",-6.13,42.73,0.015796875581145287,5722.4,302.0,1.0527750594156298,1,40,80,80,24
371109900000000020253889,2022041400,20220414,371109900000000010129680,371109900000000010129680420030,24.00,50.00,1,85.00,27.6,1.0,100.0,85.0,70.0,100.00,22.90625,"[22.59375, 22.59375, 22.90625, 22.90625, 22.40625, 22.40625, 22.0, 22.0, 20.5, 20.5, 20.59375, 20.59375, 22.90625, 22.90625, 21.296875, 21.296875, 22.296875, 22.296875, 21.5, 21.5, 21.59375, 21.59375, 21.40625, 21.40625]",-6.13,42.73,0.0,7467.5,486.63,1.0651663876799464,1,40,80,80,24
371109900000000020253889,2022041400,20220414,371109900000000010181994,371109900000000010181994400971,0.00,50.00,0,70.00,27.3,1.0,95.0,70.0,70.0,95.00,22.09375,"[20.703125, 20.703125, 18.90625, 18.90625, 19.40625, 19.40625, 19.203125, 19.203125, 19.296875, 19.296875, 22.09375, 22.09375, 18.90625]",-6.13,42.73,0.05700000002980232,12397.8,538.5,1.0434351255867977,0,40,60,80,25
371109900000000020253889,2022041400,20220414,371109900000000010182000,371109900000000010182000401070,22.00,50.00,1,30.00,22.7,0.0,0.0,30.0,70.0,0.00,22.953125,"[22.953125, 22.953125, 22.953125, 22.953125, 22.953125, 20.765625, 20.765625, 20.765625, 20.765625, 20.765625, 20.765625, 21.5, 19.546875]",-6.13,42.73,0.03668750077486038,8182.6,392.5,1.0479676386478625,1,30,80,80,25
371109900000000020253889,2022041400,20220414,371109900000000010181988,371109900000000010181988424051,0.00,50.00,0,70.00,28.2,1.0,100.0,70.0,70.0,100.00,21.90625,"[18.5625, 18.5625, 18.5625, 18.5625, 18.5625, 18.5625, 21.90625, 21.90625, 21.90625, 21.90625, 21.90625, 21.90625, 18.5625, 18.5625, 18.5625, 18.5625, 18.5625, 18.5625, 21.90625, 21.90625, 21.90625, 21.90625, 21.90625, 21.90625]",-6.13,42.73,0.06081249937415123,6463.3,211.8,1.0327696378011233,0,40,60,80,25
371109900000000020253889,2022041400,20220414,371109900000000010129676,371109900000000010129676421932,25.00,50.00,1,84.00,26.7,1.0,46.0,84.0,70.0,46.00,21.703125,"[21.703125, 21.703125, 21.703125, 21.703125, 21.703125, 21.703125, 21.703125, 21.703125, 21.40625, 21.40625, 21.40625, 21.40625, 21.703125]",-6.13,42.73,0.0,7508.8,1447.5,1.1927738120605156,1,40,80,80,24
371109900000000020253889,2022041400,20220414,371109900000000010181994,371109900000000010181994400972,0.00,30.00,0,30.00,25.9,0.0,0.0,30.0,70.0,0.00,22.09375,"[21.40625, 21.40625, 20.296875, 20.296875, 18.90625, 18.90625, 18.59375, 18.59375, 18.59375, 18.59375, 18.40625, 21.0, 21.0, 22.09375, 22.09375, 19.796875, 19.796875, 19.296875, 19.296875, 19.09375, 19.09375, 19.09375]",-6.13,42.73,0.09028124809265137,12397.8,538.5,1.0434351255867977,0,40,60,80,25
371109900000000020253889,2022041400,20220414,371109900000000010129678,371109900000000010129678421971,24.50,50.00,1,70.00,28.1,1.0,100.0,70.0,70.0,100.00,20.40625,"[19.703125, 19.703125, 19.703125, 19.703125, 19.703125, 19.703125, 20.40625, 20.40625, 20.40625, 20.40625, 19.703125, 19.703125, 19.703125, 19.703125, 19.703125, 19.703125, 19.703125, 19.703125, 19.703125, 19.0, 19.0, 19.0, 19.0, 19.703125]",-6.13,42.73,0.0,9088.3,496.5,1.0546306790048745,1,40,80,80,24
371109900000000020253889,2022041401,20220414,371109900000000010182000,371109900000000010182000401070,22.00,50.00,1,30.00,22.8,0.0,0.0,30.0,70.0,0.00,22.921875,"[22.921875, 22.921875, 22.921875, 22.921875, 22.921875, 20.828125, 20.828125, 20.828125, 20.828125, 20.828125, 20.828125, 21.921875, 19.6875]",-6.33,45.17,0.03681249916553497,8182.6,392.5,1.0479676386478625,1,30,80,80,25
371109900000000020253889,2022041401,20220414,371109900000000010181992,371109900000000010181992401052,25.00,43.00,1,75.00,27.0,1.0,100.0,75.0,70.0,100.00,23.203125,"[23.1875, 23.1875, 23.1875, 23.1875, 23.1875, 23.1875, 23.203125, 23.203125, 23.203125, 23.203125, 23.203125, 23.203125]",-6.33,45.17,0.04481250047683716,5722.4,302.0,1.0527750594156298,1,40,80,80,24
371109900000000020253889,2022041401,20220414,371109900000000010129676,371109900000000010129676417749,23.00,50.00,1,90.00,26.6,1.0,100.0,90.0,70.0,100.00,19.0,"[19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0]",-6.33,45.17,0.0,7508.8,1447.5,1.1927738120605156,1,40,80,80,25
371109900000000020253889,2022041401,20220414,371109900000000010181994,371109900000000010181994400969,0.00,30.00,0,90.00,29.3,1.0,100.0,90.0,70.0,100.00,23.09375,"[21.796875, 21.796875, 18.703125, 18.703125, 19.203125, 19.203125, 19.0, 19.0, 18.90625, 18.90625, 19.90625, 19.90625, 23.09375]",-6.33,45.17,0.1158749982714653,12397.8,538.5,1.0434351255867977,0,40,60,80,25
371109900000000020253889,2022041401,20220414,371109900000000010129680,371109900000000010129680420030,24.00,50.00,1,85.00,27.6,1.0,100.0,85.0,70.0,100.00,22.90625,"[22.5, 22.5, 22.90625, 22.90625, 22.40625, 22.40625, 22.0, 22.0, 20.5, 20.5, 20.59375, 20.59375, 22.90625, 22.90625, 21.296875, 21.296875, 22.40625, 22.40625, 21.59375, 21.59375, 21.59375, 21.59375, 21.40625, 21.40625]",-6.33,45.17,0.0,7467.5,486.63,1.0651663876799464,1,40,80,80,24
371109900000000020253889,2022041401,20220414,371109900000000010129678,371109900000000010129678421970,25.00,22.00,1,75.00,30.1,1.0,100.0,75.0,70.0,100.00,22.703125,"[18.40625, 18.40625, 18.40625, 18.40625, 18.40625, 18.40625, 18.40625, 18.40625, 22.703125, 22.703125, 22.703125, 22.703125, 20.21875]",-6.33,45.17,0.0,9088.3,496.5,1.0546306790048745,1,40,80,80,24
371109900000000020253889,2022041401,20220414,371109900000000010181988,371109900000000010181988424051,0.00,50.00,0,70.00,28.3,1.0,100.0,70.0,70.0,100.00,21.90625,"[18.625, 18.625, 18.625, 18.625, 18.625, 18.625, 21.90625, 21.90625, 21.90625, 21.90625, 21.90625, 21.90625, 18.625, 18.625, 18.625, 18.625, 18.625, 18.625, 21.90625, 21.90625, 21.90625, 21.90625, 21.90625, 21.90625]",-6.33,45.17,0.06109375134110451,6463.3,211.8,1.0327696378011233,0,40,60,80,25
371109900000000020253889,2022041401,20220414,371109900000000010181988,371109900000000010181988402081,0.00,53.00,0,65.00,28.6,1.0,100.0,65.0,70.0,100.00,23.796875,"[23.796875, 23.796875, 23.796875, 23.796875, 23.796875, 23.796875, 20.8125, 20.8125, 20.8125, 20.8125, 20.8125, 20.8125]",-6.33,45.17,0.04899999871850014,6463.3,211.8,1.0327696378011233,0,40,60,80,25
371109900000000020253889,2022041401,20220414,371109900000000010181994,371109900000000010181994400970,0.00,41.00,0,61.00,27.0,1.0,93.0,61.0,70.0,93.00,22.40625,"[18.09375, 18.09375, 18.09375, 18.09375, 18.40625, 18.40625, 20.59375, 20.59375, 17.90625, 17.90625, 22.40625, 19.5, 19.5, 18.59375, 18.59375, 19.296875, 19.296875, 18.703125, 18.703125, 22.09375, 22.09375, 20.40625, 20.40625, 20.90625]",-6.33,45.17,0.10390625149011612,12397.8,538.5,1.0434351255867977,0,40,60,80,25
371109900000000020253889,2022041401,20220414,371109900000000010129676,371109900000000010129676421941,25.00,30.00,1,93.00,27.1,1.0,73.0,93.0,70.0,73.00,21.203125,"[17.59375, 17.59375, 17.59375, 17.59375, 17.59375, 17.59375, 17.59375, 17.59375, 17.59375, 17.59375, 21.203125, 21.203125, 21.203125, 21.203125, 21.203125, 21.203125, 21.203125, 18.09375, 18.09375, 18.09375, 18.09375]",-6.33,45.17,0.0,7508.8,1447.5,1.1927738120605156,1,40,90,80,24
371109900000000020253889,2022041401,20220414,371109900000000010181992,371109900000000010181992401051,27.00,30.00,1,70.00,29.2,1.0,100.0,70.0,70.0,100.00,23.203125,"[23.1875, 23.1875, 23.1875, 23.1875, 23.1875, 23.1875, 23.203125, 23.203125, 23.203125, 23.203125, 23.203125, 23.203125]",-6.33,45.17,0.0794999971985817,5722.4,302.0,1.0527750594156298,1,40,80,80,24
371109900000000020253889,2022041401,20220414,371109900000000010181988,371109900000000010181988402080,0.00,51.00,0,80.00,29.6,1.0,100.0,80.0,70.0,100.00,23.4375,"[23.4375, 23.4375, 23.4375, 23.4375, 23.4375, 23.4375, 21.59375, 21.59375, 21.59375, 21.59375, 21.59375, 21.59375, 23.4375, 23.4375, 23.4375, 23.4375, 23.4375, 23.4375, 21.59375, 21.59375, 21.59375, 21.59375, 21.59375, 21.59375]",-6.33,45.17,0.09999999403953552,6463.3,211.8,1.0327696378011233,0,40,60,80,25
371109900000000020253889,2022041401,20220414,371109900000000010181994,371109900000000010181994400971,0.00,50.00,0,70.00,27.3,1.0,95.0,70.0,70.0,95.00,22.203125,"[20.703125, 20.703125, 18.90625, 18.90625, 19.40625, 19.40625, 19.296875, 19.296875, 19.40625, 19.40625, 22.203125, 22.203125, 18.90625]",-6.33,45.17,0.056687500327825546,12397.8,538.5,1.0434351255867977,0,40,60,80,25
371109900000000020253889,2022041401,20220414,371109900000000010182000,371109900000000010182000401069,22.50,46.00,1,55.00,22.6,1.0,57.0,55.0,70.0,57.00,23.546875,"[22.8125, 22.8125, 22.8125, 22.8125, 22.8125, 23.546875, 23.546875, 23.546875, 23.546875, 23.546875, 23.546875, 20.9375, 22.8125]",-6.33,45.17,0.04109375178813934,8182.6,392.5,1.0479676386478625,1,30,80,80,25
371109900000000020253889,2022041401,20220414,371109900000000010129678,371109900000000010129678421971,24.50,50.00,1,70.00,28.0,1.0,100.0,70.0,70.0,100.00,20.40625,"[19.59375, 19.59375, 19.59375, 19.59375, 19.59375, 19.59375, 20.40625, 20.40625, 20.40625, 20.40625, 19.796875, 19.796875, 19.796875, 19.796875, 19.796875, 19.796875, 19.796875, 19.796875, 19.796875, 19.0, 19.0, 19.0, 19.0, 19.796875]",-6.33,45.17,0.0,9088.3,496.5,1.0546306790048745,1,40,80,80,24
371109900000000020253889,2022041401,20220414,371109900000000010181992,371109900000000010181992401053,25.00,40.00,1,44.00,26.4,1.0,40.0,44.0,70.0,40.00,21.546875,"[21.359375, 21.359375, 21.359375, 21.359375, 21.359375, 21.359375, 21.546875, 21.546875, 21.546875, 21.546875, 21.546875, 21.546875]",-6.33,45.17,0.015796875581145287,5722.4,302.0,1.0527750594156298,1,40,80,80,24
371109900000000020253889,2022041401,20220414,371109900000000010181994,371109900000000010181994400972,0.00,30.00,0,30.00,25.9,0.0,0.0,30.0,70.0,0.00,22.09375,"[21.296875, 21.296875, 20.40625, 20.40625, 18.90625, 18.90625, 18.59375, 18.59375, 18.59375, 18.59375, 18.40625, 21.0, 21.0, 22.09375, 22.09375, 19.796875, 19.796875, 19.296875, 19.296875, 19.09375, 19.09375, 19.09375]",-6.33,45.17,0.09040625393390656,12397.8,538.5,1.0434351255867977,0,40,60,80,25
371109900000000020253889,2022041401,20220414,371109900000000010129676,371109900000000010129676421932,25.00,50.00,1,85.00,26.8,1.0,53.0,85.0,70.0,53.00,21.703125,"[21.703125, 21.703125, 21.703125, 21.703125, 21.703125, 21.703125, 21.703125, 21.703125, 21.203125, 21.203125, 21.203125, 21.203125, 21.703125]",-6.33,45.17,0.0,7508.8,1447.5,1.1927738120605156,1,40,80,80,24
371109900000000020253889,2022041401,20220414,371109900000000010182000,371109900000000010182000401068,22.20,56.00,1,95.00,26.7,1.0,100.0,95.0,70.0,100.00,25.40625,"[25.40625, 25.40625, 25.40625, 25.40625, 20.578125, 20.578125, 20.578125, 20.578125, 20.578125, 20.234375, 22.8125]",-6.33,45.17,0.06090625002980232,8182.6,392.5,1.0479676386478625,1,60,90,80,23
371109900000000020253889,2022041401,20220414,371109900000000010129680,371109900000000010129680420031,24.00,51.00,1,85.00,29.6,1.0,100.0,85.0,70.0,100.00,29.0,"[29.0, 29.0, 25.09375, 25.09375, 23.59375, 23.59375, 23.203125, 23.203125, 22.296875, 22.296875, 23.203125, 23.203125]",-6.33,45.17,0.0,7467.5,486.63,1.0651663876799464,1,60,100,80,22
371109900000000020253889,2022041402,20220414,371109900000000010129676,371109900000000010129676421941,25.00,30.00,1,93.00,27.0,1.0,72.0,93.0,70.0,72.00,21.796875,"[18.09375, 18.09375, 18.09375, 18.09375, 18.09375, 18.09375, 17.59375, 17.59375, 17.59375, 17.59375, 21.796875, 21.796875, 21.796875, 21.796875, 21.796875, 21.796875, 21.796875, 18.40625, 18.40625, 18.40625, 18.40625]",-7.03,46.0,0.0,7508.8,1447.5,1.1927738120605156,1,40,90,80,24
371109900000000020253889,2022041402,20220414,371109900000000010181994,371109900000000010181994400972,0.00,30.00,0,30.00,25.9,0.0,0.0,30.0,70.0,0.00,22.09375,"[21.296875, 21.296875, 20.296875, 20.296875, 18.90625, 18.90625, 18.59375, 18.59375, 18.59375, 18.59375, 18.40625, 21.09375, 21.09375, 22.09375, 22.09375, 19.796875, 19.796875, 19.40625, 19.40625, 19.09375, 19.09375, 19.09375]",-7.03,46.0,0.09090624749660492,12397.8,538.5,1.0434351255867977,0,40,60,80,25
371109900000000020253889,2022041402,20220414,371109900000000010181994,371109900000000010181994400969,0.00,30.00,0,90.00,29.3,1.0,100.0,90.0,70.0,100.00,23.09375,"[21.796875, 21.796875, 18.796875, 18.796875, 19.40625, 19.40625, 19.0, 19.0, 18.90625, 18.90625, 19.90625, 19.90625, 23.09375]",-7.03,46.0,0.11437500268220901,12397.8,538.5,1.0434351255867977,0,40,60,80,25
371109900000000020253889,2022041402,20220414,371109900000000010181992,371109900000000010181992401051,27.00,30.00,1,70.00,29.2,1.0,100.0,70.0,70.0,100.00,23.1875,"[23.1875, 23.1875, 23.1875, 23.1875, 23.1875, 23.1875, 23.09375, 23.09375, 23.09375, 23.09375, 23.09375, 23.09375]",-7.03,46.0,0.08449999988079071,5722.4,302.0,1.0527750594156298,1,40,80,80,24
371109900000000020253889,2022041402,20220414,371109900000000010181992,371109900000000010181992401053,25.00,40.00,1,44.00,26.4,1.0,40.0,44.0,70.0,40.00,21.5625,"[21.40625, 21.40625, 21.40625, 21.40625, 21.40625, 21.40625, 21.5625, 21.5625, 21.5625, 21.5625, 21.5625, 21.5625]",-7.03,46.0,0.015898438170552254,5722.4,302.0,1.0527750594156298,1,40,80,80,24
371109900000000020253889,2022041402,20220414,371109900000000010182000,371109900000000010182000401069,22.50,46.00,1,50.00,22.5,1.0,49.0,50.0,70.0,49.00,23.125,"[22.765625, 22.765625, 22.765625, 22.765625, 22.765625, 23.125, 23.125, 23.125, 23.125, 23.125, 23.125, 20.96875, 22.765625]",-7.03,46.0,0.04100000113248825,8182.6,392.5,1.0479676386478625,1,30,80,80,25
371109900000000020253889,2022041402,20220414,371109900000000010181988,371109900000000010181988402081,0.00,53.00,0,65.00,28.4,1.0,100.0,65.0,70.0,100.00,23.734375,"[23.734375, 23.734375, 23.734375, 23.734375, 23.734375, 23.734375, 20.8125, 20.8125, 20.8125, 20.8125, 20.8125, 20.8125]",-7.03,46.0,0.0494999997317791,6463.3,211.8,1.0327696378011233,0,40,60,80,25
371109900000000020253889,2022041402,20220414,371109900000000010129680,371109900000000010129680420030,24.00,50.00,1,85.00,27.4,1.0,100.0,85.0,70.0,100.00,22.703125,"[22.5, 22.5, 22.703125, 22.703125, 22.203125, 22.203125, 21.90625, 21.90625, 20.40625, 20.40625, 20.5, 20.5, 22.703125, 22.703125, 21.203125, 21.203125, 22.203125, 22.203125, 21.40625, 21.40625, 21.59375, 21.59375, 21.40625, 21.40625]",-7.03,46.0,0.0,7467.5,486.63,1.0651663876799464,1,40,80,80,24
371109900000000020253889,2022041402,20220414,371109900000000010129680,371109900000000010129680420031,24.00,51.00,1,85.00,29.4,1.0,100.0,85.0,70.0,100.00,28.90625,"[28.90625, 28.90625, 24.796875, 24.796875, 23.5, 23.5, 23.0, 23.0, 22.09375, 22.09375, 23.0, 23.0]",-7.03,46.0,0.0,7467.5,486.63,1.0651663876799464,1,60,100,80,22
