time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,2059922_c,2059922_h,2059922_r,2059922_s,2059923_c,2059923_h,2059923_r,2059923_s,2059924_c,2059924_h,2059924_r,2059924_s,2059925_c,2059925_h,2059925_r,2059925_s
2023-05-30 11:30:00,,26.0,19.0,23.05,21.2,25.6,"[25.6, 14.6, 23.4]",1.0,21.8,25.4,25.0,1.0,26.0,27.9,25.0,1.0,19.0,18.9,,1.0,25.4,25.1,25.0
2023-05-30 11:35:00,,25.9,18.8,23.025,21.53333333333333,25.6,"[25.6, 14.7, 24.3]",1.0,21.8,25.4,25.0,1.0,25.9,27.9,25.0,1.0,18.8,18.9,,1.0,25.6,25.1,25.0
2023-05-30 11:40:00,,25.9,18.4,22.975,21.666666666666668,25.5,"[25.5, 14.8, 24.7]",1.0,21.7,25.4,25.0,1.0,25.9,27.9,25.0,1.0,18.4,18.9,,1.0,25.9,25.1,25.0
2023-05-30 11:45:00,,26.1,18.3,23.0,21.83333333333333,25.5,"[25.5, 14.9, 25.1]",1.0,21.7,25.4,25.0,1.0,25.9,27.9,25.0,1.0,18.3,18.9,,1.0,26.1,25.1,25.0
2023-05-30 11:50:00,,26.3,18.5,23.125,21.933333333333337,25.6,"[25.6, 14.9, 25.3]",1.0,21.7,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.5,18.9,,1.0,26.3,25.1,25.0
2023-05-30 11:55:00,,26.5,18.5,23.225,22.066666666666663,25.7,"[25.7, 15.0, 25.5]",1.0,21.8,25.4,25.0,1.0,26.1,27.9,25.0,1.0,18.5,18.9,,1.0,26.5,25.1,25.0
2023-05-30 12:00:00,,26.8,19.0,23.45,21.96666666666667,25.6,"[25.6, 15.1, 25.2]",1.0,21.8,25.4,25.0,1.0,26.2,27.9,25.0,1.0,19.0,18.9,,1.0,26.8,25.1,25.0
2023-05-30 12:05:00,,26.8,18.7,23.325,21.166666666666668,25.7,"[25.7, 14.6, 23.2]",1.0,21.8,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.7,18.9,,1.0,26.8,25.1,25.0
2023-05-30 12:10:00,,26.0,18.7,23.05,21.433333333333337,25.6,"[25.6, 14.6, 24.1]",1.0,21.8,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.7,18.9,,1.0,25.7,25.1,25.0
2023-05-30 12:15:00,,25.8,18.4,22.925,21.633333333333336,25.5,"[25.5, 14.8, 24.6]",1.0,21.7,25.4,25.0,1.0,25.8,27.9,25.0,1.0,18.4,18.9,,1.0,25.8,25.1,25.0
2023-05-30 12:20:00,,25.9,18.7,23.05,21.766666666666666,25.6,"[25.6, 14.8, 24.9]",1.0,21.7,25.4,25.0,1.0,25.9,27.9,25.0,1.0,18.7,18.9,,1.0,25.9,25.1,25.0
2023-05-30 12:25:00,,26.1,18.8,23.15,21.933333333333334,25.6,"[25.6, 15.0, 25.2]",1.0,21.7,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.8,18.9,,1.0,26.1,25.1,25.0
2023-05-30 12:30:00,,26.6,19.0,23.35,22.066666666666663,25.7,"[25.7, 15.1, 25.4]",1.0,21.8,25.4,25.0,1.0,26.0,27.9,25.0,1.0,19.0,18.9,,1.0,26.6,25.1,25.0
2023-05-30 12:35:00,,26.7,19.2,23.475,22.2,25.8,"[25.8, 15.2, 25.6]",1.0,21.8,25.4,25.0,1.0,26.2,27.9,25.0,1.0,19.2,18.9,,1.0,26.7,25.1,25.0
2023-05-30 12:40:00,,26.3,19.0,23.375,21.73333333333333,25.7,"[25.7, 15.0, 24.5]",1.0,22.0,25.4,25.0,1.0,26.2,27.9,25.0,1.0,19.0,18.9,,1.0,26.3,25.1,25.0
2023-05-30 12:45:00,,26.2,18.9,23.175,21.166666666666668,25.6,"[25.6, 14.6, 23.3]",1.0,22.0,25.4,25.0,1.0,26.2,27.9,25.0,1.0,18.9,18.9,,1.0,25.6,25.1,25.0
2023-05-30 12:50:00,,25.9,19.0,23.1,21.6,25.6,"[25.6, 14.8, 24.4]",1.0,21.8,25.4,25.0,1.0,25.9,27.9,25.0,1.0,19.0,18.9,,1.0,25.7,25.1,25.0
