time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3237702_c,3237702_h,3237702_r,3237702_s,915254_c,915254_r,915254_s
2023-05-30 10:55:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,28.0,26.0,1.0,27.0,25.0
2023-05-30 11:00:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,28.0,26.0,1.0,26.0,25.0
2023-05-30 11:05:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 11:10:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 11:15:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,28.0,26.0,1.0,26.0,25.0
2023-05-30 11:20:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,27.0,26.0,1.0,26.0,25.0
2023-05-30 11:25:00,,42.2,42.2,42.2,28.3,28.3,[28.3],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 11:30:00,,42.2,42.2,42.2,28.2,28.2,[28.2],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 11:35:00,,42.0,42.0,42.0,28.2,28.2,[28.2],1.0,42.0,27.0,26.0,1.0,27.0,25.0
2023-05-30 11:40:00,,41.9,41.9,41.9,28.3,28.3,[28.3],1.0,41.9,27.0,26.0,1.0,26.0,25.0
2023-05-30 11:45:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 11:50:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 11:55:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,28.0,26.0,1.0,27.0,25.0
2023-05-30 12:00:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,27.0,26.0,1.0,26.0,25.0
2023-05-30 12:05:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 12:10:00,,42.1,42.1,42.1,28.2,28.2,[28.2],1.0,42.1,27.0,26.0,1.0,26.0,25.0
2023-05-30 12:15:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,28.0,26.0,1.0,26.0,25.0
2023-05-30 12:20:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,27.0,26.0,1.0,26.0,25.0
2023-05-30 12:25:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 12:30:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,28.0,26.0,1.0,27.0,25.0
2023-05-30 12:35:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,26.0,25.0
2023-05-30 12:40:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 12:45:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 12:50:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,28.0,26.0,1.0,27.0,25.0
2023-05-30 12:55:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,27.0,26.0,1.0,26.0,25.0
2023-05-30 13:00:00,,42.2,42.2,42.2,28.3,28.3,[28.3],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 13:05:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 13:10:00,,41.9,41.9,41.9,28.2,28.2,[28.2],1.0,41.9,27.0,26.0,1.0,27.0,25.0
2023-05-30 13:15:00,,41.9,41.9,41.9,28.3,28.3,[28.3],1.0,41.9,28.0,26.0,1.0,26.0,25.0
2023-05-30 13:20:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 13:25:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 13:30:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,28.0,26.0,1.0,27.0,25.0
2023-05-30 13:35:00,,41.9,41.9,41.9,28.4,28.4,[28.4],1.0,41.9,28.0,26.0,1.0,26.0,25.0
2023-05-30 13:40:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 13:45:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,28.0,26.0,1.0,27.0,25.0
2023-05-30 13:50:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,28.0,26.0,1.0,26.0,25.0
2023-05-30 13:55:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 14:00:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 14:05:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,27.0,26.0,1.0,26.0,25.0
2023-05-30 14:10:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,28.0,26.0,1.0,26.0,25.0
2023-05-30 14:15:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 14:20:00,,42.2,42.2,42.2,28.3,28.3,[28.3],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 14:25:00,,42.2,42.2,42.2,28.3,28.3,[28.3],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 14:30:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,28.0,26.0,1.0,26.0,25.0
2023-05-30 14:35:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,26.0,25.0
2023-05-30 14:40:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 14:45:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 14:50:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,27.0,26.0,1.0,27.0,25.0
2023-05-30 14:55:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,28.0,26.0,1.0,26.0,25.0
2023-05-30 15:00:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 15:05:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 15:10:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 15:15:00,,41.9,41.9,41.9,28.4,28.4,[28.4],1.0,41.9,28.0,26.0,1.0,26.0,25.0
2023-05-30 15:20:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,26.0,25.0
2023-05-30 15:25:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,26.0,25.0
2023-05-30 15:30:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 15:35:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,28.0,26.0,1.0,27.0,25.0
2023-05-30 15:40:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,28.0,26.0,1.0,26.0,25.0
2023-05-30 15:45:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 15:50:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 15:55:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,28.0,26.0,1.0,27.0,25.0
2023-05-30 16:00:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,28.0,26.0,1.0,26.0,25.0
2023-05-30 16:05:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 16:10:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 16:15:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,28.0,26.0,1.0,26.0,25.0
2023-05-30 16:20:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,28.0,26.0,1.0,26.0,25.0
2023-05-30 16:25:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 16:30:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 16:35:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,27.0,26.0,1.0,27.0,25.0
2023-05-30 16:40:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,28.0,26.0,1.0,26.0,25.0
2023-05-30 16:45:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 16:50:00,,42.2,42.2,42.2,28.3,28.3,[28.3],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 16:55:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,28.0,26.0,1.0,26.0,25.0
2023-05-30 17:00:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,27.0,26.0,1.0,26.0,25.0
2023-05-30 17:05:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 17:10:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 17:15:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,28.0,26.0,1.0,26.0,25.0
2023-05-30 17:20:00,,42.2,42.2,42.2,28.5,28.5,[28.5],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 17:25:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 17:30:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,27.0,26.0,1.0,26.0,25.0
2023-05-30 17:35:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,28.0,26.0,1.0,26.0,25.0
2023-05-30 17:40:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 17:45:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 17:50:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 17:55:00,,41.9,41.9,41.9,28.3,28.3,[28.3],1.0,41.9,27.0,26.0,1.0,26.0,25.0
2023-05-30 18:00:00,,41.9,41.9,41.9,28.4,28.4,[28.4],1.0,41.9,28.0,26.0,1.0,26.0,25.0
2023-05-30 18:05:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 18:10:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 18:15:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 18:20:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,28.0,26.0,1.0,27.0,25.0
2023-05-30 18:25:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,26.0,25.0
2023-05-30 18:30:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 18:35:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,26.0,25.0
2023-05-30 18:40:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,28.0,26.0,1.0,26.0,25.0
2023-05-30 18:45:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,26.0,25.0
2023-05-30 18:50:00,,42.1,42.1,42.1,28.5,28.5,[28.5],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 18:55:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 19:00:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,28.0,26.0,1.0,26.0,25.0
2023-05-30 19:05:00,,42.0,42.0,42.0,28.5,28.5,[28.5],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 19:10:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 19:15:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 19:20:00,,42.0,42.0,42.0,28.5,28.5,[28.5],1.0,42.0,28.0,26.0,1.0,26.0,25.0
2023-05-30 19:25:00,,42.0,42.0,42.0,28.5,28.5,[28.5],1.0,42.0,27.0,26.0,1.0,26.0,25.0
2023-05-30 19:30:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 19:35:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,26.0,25.0
2023-05-30 19:40:00,,42.0,42.0,42.0,28.5,28.5,[28.5],1.0,42.0,28.0,26.0,1.0,26.0,25.0
2023-05-30 19:45:00,,42.2,42.2,42.2,28.5,28.5,[28.5],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 19:50:00,,42.2,42.2,42.2,28.4,28.4,[28.4],1.0,42.2,27.0,26.0,1.0,25.0,25.0
2023-05-30 19:55:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,26.0,25.0
2023-05-30 20:00:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,28.0,26.0,1.0,26.0,25.0
2023-05-30 20:05:00,,42.1,42.1,42.1,28.5,28.5,[28.5],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 20:10:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 20:15:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,27.0,25.0
2023-05-30 20:20:00,,42.0,42.0,42.0,28.5,28.5,[28.5],1.0,42.0,28.0,26.0,1.0,26.0,25.0
2023-05-30 20:25:00,,42.0,42.0,42.0,28.5,28.5,[28.5],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 20:30:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 20:35:00,,42.0,42.0,42.0,28.5,28.5,[28.5],,42.0,,,,,
2023-05-30 20:40:00,,42.0,42.0,42.0,28.5,28.5,[28.5],1.0,42.0,27.0,26.0,1.0,26.0,25.0
2023-05-30 20:45:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 20:50:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 20:55:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,28.0,26.0,1.0,27.0,25.0
2023-05-30 21:00:00,,41.9,41.9,41.9,28.5,28.5,[28.5],1.0,41.9,27.0,26.0,1.0,26.0,25.0
2023-05-30 21:05:00,,42.0,42.0,42.0,28.5,28.5,[28.5],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 21:10:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 21:15:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,28.0,26.0,1.0,26.0,25.0
2023-05-30 21:20:00,,42.1,42.1,42.1,28.5,28.5,[28.5],1.0,42.1,27.0,26.0,1.0,26.0,25.0
2023-05-30 21:25:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 21:30:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 21:35:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,26.0,25.0
2023-05-30 21:40:00,,41.9,41.9,41.9,28.4,28.4,[28.4],1.0,41.9,27.0,26.0,1.0,26.0,25.0
2023-05-30 21:45:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,26.0,25.0
2023-05-30 21:50:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 21:55:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,24.0,25.0
2023-05-30 22:00:00,,41.9,41.9,41.9,28.4,28.4,[28.4],1.0,41.9,27.0,26.0,1.0,26.0,25.0
2023-05-30 22:05:00,,41.9,41.9,41.9,28.4,28.4,[28.4],1.0,41.9,27.0,26.0,1.0,25.0,25.0
2023-05-30 22:10:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 22:15:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,24.0,25.0
2023-05-30 22:20:00,,41.9,41.9,41.9,28.4,28.4,[28.4],1.0,41.9,27.0,26.0,1.0,26.0,25.0
2023-05-30 22:25:00,,41.9,41.9,41.9,28.4,28.4,[28.4],1.0,41.9,27.0,26.0,1.0,25.0,25.0
2023-05-30 22:30:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 22:35:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,28.0,26.0,1.0,27.0,25.0
2023-05-30 22:40:00,,41.9,41.9,41.9,28.5,28.5,[28.5],1.0,41.9,28.0,26.0,1.0,26.0,25.0
2023-05-30 22:45:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 22:50:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,27.0,25.0
2023-05-30 22:55:00,,42.0,42.0,42.0,28.5,28.5,[28.5],1.0,42.0,27.0,26.0,1.0,26.0,25.0
2023-05-30 23:00:00,,42.1,42.1,42.1,,,,1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 23:05:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 23:10:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,28.0,26.0,1.0,27.0,25.0
2023-05-30 23:15:00,,42.0,42.0,42.0,28.5,28.5,[28.5],1.0,42.0,27.0,26.0,1.0,26.0,25.0
2023-05-30 23:20:00,,42.1,42.1,42.1,28.5,28.5,[28.5],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 23:25:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-30 23:30:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,28.0,26.0,1.0,26.0,25.0
2023-05-30 23:35:00,,,,,,,,,,,,,,
2023-05-30 23:40:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 23:45:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 23:50:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,28.0,26.0,1.0,27.0,25.0
2023-05-30 23:55:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-31 00:00:00,,42.1,42.1,42.1,28.4,28.4,[28.4],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-31 00:05:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,24.0,25.0
2023-05-31 00:10:00,,41.9,41.9,41.9,28.4,28.4,[28.4],1.0,41.9,28.0,26.0,1.0,26.0,25.0
2023-05-31 00:15:00,,41.9,41.9,41.9,28.4,28.4,[28.4],1.0,41.9,27.0,26.0,1.0,26.0,25.0
2023-05-31 00:20:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-31 00:25:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,27.0,25.0
2023-05-31 00:30:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,26.0,25.0
2023-05-31 00:35:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-31 00:40:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-31 00:45:00,,42.0,42.0,42.0,,,,1.0,42.0,27.0,26.0,1.0,27.0,25.0
2023-05-31 00:50:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,27.0,26.0,1.0,26.0,25.0
2023-05-31 00:55:00,,41.9,41.9,41.9,28.4,28.4,[28.4],1.0,41.9,27.0,26.0,1.0,25.0,25.0
2023-05-31 01:00:00,,41.9,41.9,41.9,28.3,28.3,[28.3],1.0,41.9,27.0,26.0,1.0,25.0,25.0
2023-05-31 01:05:00,,41.9,41.9,41.9,28.4,28.4,[28.4],1.0,41.9,28.0,26.0,1.0,26.0,25.0
2023-05-31 01:10:00,,41.9,41.9,41.9,28.4,28.4,[28.4],1.0,41.9,27.0,26.0,1.0,25.0,25.0
2023-05-31 01:15:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-31 01:20:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-31 01:25:00,,41.9,41.9,41.9,28.3,28.3,[28.3],1.0,41.9,27.0,26.0,1.0,26.0,25.0
2023-05-31 01:30:00,,41.9,41.9,41.9,28.4,28.4,[28.4],1.0,41.9,27.0,26.0,1.0,25.0,25.0
2023-05-31 01:35:00,,41.9,41.9,41.9,28.3,28.3,[28.3],1.0,41.9,27.0,26.0,1.0,26.0,25.0
2023-05-31 01:40:00,,42.0,42.0,42.0,28.4,28.4,[28.4],1.0,42.0,28.0,26.0,1.0,26.0,25.0
2023-05-31 01:45:00,,42.1,42.1,42.1,28.3,28.3,[28.3],1.0,42.1,27.0,26.0,1.0,25.0,25.0
2023-05-31 01:50:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-31 01:55:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,27.0,25.0
2023-05-31 02:00:00,,41.9,41.9,41.9,,,,1.0,41.9,27.0,26.0,1.0,26.0,25.0
2023-05-31 02:05:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-31 02:10:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-31 02:15:00,,41.9,41.9,41.9,28.3,28.3,[28.3],1.0,41.9,28.0,26.0,1.0,27.0,25.0
2023-05-31 02:20:00,,41.9,41.9,41.9,28.3,28.3,[28.3],1.0,41.9,27.0,26.0,1.0,25.0,25.0
