地市,数据中心,机房名称,机房类别,状态记录,回退原因,开始调控日期,控制范围,机柜最高温,环境最高温,机柜预警线,机柜报警线,回风预警线,环境报警线,空调数量,机柜id,环境id,空调id,压线标志,控制描述,,,,,,
嘉兴,禾_J_平湖东湖体育场(B)C网基站,1F综合机房,D,,,2023/2/21,22-29,32.3,24.6,36,37,29,30,1,,,,,,,,,,,
金华,婺_D_婺城新狮局,2F综合机房,D,,,2023/2/21,22-29,33.9,26.1,59,60,33,35,1,,,,,,,,,,,
舟山,舟_D_普陀东港昌正大厦局,7F综合机房,D,,,2023/2/21,22-29,29.9,29.5,34,35,29,30,2,,,,,,,,,,,
台州,台_C_临海城东局,3F传输室,C,,,2023/2/22,22-29,32,26,39,40,29,28,1,,,,,,,,,,,
台州,台_C_仙居新大楼局,3F综合机房,C,,,2023/2/22,22-29,38.3,27.8,43,44,29,29,3,,,,,,,,,,,
台州,台_C_温岭三星大楼局,1F综合机房,C,,,2023/2/24,22-29,41,28.9,46,47,29,30,2,,,,,,,,,,,
台州,台_C_温岭三星大楼局,1FOLT设备机房,C,已回退,由于两台空调给22度依然回风报警，暂停部署,2023/2/24,22-29,29.3,31.1,32,33,29,32,2,,,,,,,,,,,
台州,台_C_玉环县局,3F传输机房,C,已回退,空调存在3-4度偏移量，局方要求暂停AI算法控制。请关停AI,2023/2/24,22-29,37.7,25.2,40,41,29,28,1,,,,,,,,,,,
金华,婺_C_东阳望江局,2FZ02机房,C,已回退,空调在21，回风30度，环境28.2超过C类管控机房（已暂停AI）,2023/2/24,22-29,37.9,31.7,39,40,29,32,2,,,,,,,,,,,
绍兴,绍_B_绍兴城东号百大楼局,绍兴号百大楼五楼综合机房,B,已回退,局方要求，机房下线,2023/2/27,22-29,32.2,23.3,39,40,29,28,5,,,,,,,,,,,
绍兴,绍_C_诸暨城东局,2F综合机房Z01,C,未实施,,2023/2/27,22-29,37.6,22.7,39,40,29,28,4,,,,,,,,,,,
嘉兴,禾_D_海宁被面市场局,2F综合机房,D,,,2023/3/3,22-29,37.4,27.1,41,42,29,30,4,,,,,,,,,,,
嘉兴,禾_D_海宁丁桥局,2F综合机房,D,,,2023/3/3,22-29,27.7,25,33,34,29,30,2,,,,,,,,,,,
嘉兴,禾_D_海宁黄湾尖山新区局,2F综合机房,D,,,2023/3/3,22-29,32.5,27.3,39,40,29,30,3,,,,,,,,,,,
嘉兴,禾_D_海盐六里局,2F综合机房,D,,,2023/3/3,22-29,32.8,26.9,38,39,29,30,1,,,,,,,,,,,
嘉兴,禾_D_海盐沈荡局,2F综合机房,D,,,2023/3/3,22-29,28,23.9,32,33,29,30,2,,,,,,,,,,,
嘉兴,禾_D_海盐通元局,2F综合机房,D,,,2023/3/3,22-30,36.1,25.9,36,37,31,30,2,,,,,,,,,,,
嘉兴,禾_D_海盐武原城南局,2F综合机房,D,,,2023/3/3,22-29,32.1,28.3,37,38,29,30,2,,,,,,,,,,,
嘉兴,禾_D_嘉兴高中园区局,1F综合机房,D,已回退,回风温度过高,2023/3/3,22-30,44.1,27.3,45,46,31,30,1,,,,,,,,,,,
嘉兴,禾_D_平湖乍浦天妃苑局,2FZ01机房,D,,,2023/3/3,22-29,31.7,22,34,35,29,30,2,,,,,,,,,,,
嘉兴,禾_J_嘉兴三水湾(A)C网基站,3F综合机房,D,,,2023/3/3,22-30,38.4,19.9,40,41,31,30,2,,,,,,,,,,,
