,time,room_id,acu_id,setting_t,setting_h,cp_status,fan_speed,return_t,fd_status,fd_degree,mode,temp,group_temp,active_power,outdoor_t,outdoor_h
23,2021042300,3,196854,24,50,1,44.3,24.4,1,100,1,32.7,"[29.09375, 27.703125, 30.09375, 29.796875, 26.59375, 28.796875, 28.09375, 32.6875]",32.933,17.9,18.2
24,2021042300,14,917749,24,50,1,65.9,27.4,1,100,1,37.2,"[21.5, 21.59375, 22.703125, 33.09375, 36.09375, 35.8125, 37.1875, 36.0, 35.8125, 27.5]",46.9695,17.9,18.2
25,2021042300,14,917748,24,50,1,80,26.6,1,100,1,19.9,"[19.796875, 19.296875, 19.203125, 19.90625, 19.0, 19.296875, 19.40625, 19.296875]",35.663002,17.9,18.2
26,2021042300,15,983069,24,50,1,96.9,26.1,1,100,1,29.8,"[27.0, 28.40625, 29.796875, 29.59375, 26.703125, 26.296875, 23.09375, 23.40625, 24.0, 23.703125, 26.09375, 26.0, 26.09375, 28.203125, 29.703125, 25.5, 22.59375, 24.09375, 24.703125, 24.203125]",4.6306877,17.9,18.2
27,2021042300,14,917688,24,50,1,40,23.1,1,100,1,27.0,"[24.796875, 21.59375, 27.0, 21.5, 21.59375, 22.0, 21.90625, 24.09375, 24.203125]",7.4733753,17.9,18.2
28,2021042300,14,917689,24,50,1,70.6,26.1,1,100,1,27.3,"[20.203125, 26.40625, 22.296875, 27.296875, 22.296875, 22.796875, 20.90625, 20.59375]",7.8231874,17.9,18.2
29,2021042300,2,131078,24,50,1,40.8,25.1,1,100,1,29.8,"[22.203125, 23.203125, 24.796875, 19.296875, 20.703125, 22.796875, 21.40625, 25.203125, 29.796875]",27.938,17.9,18.2
30,2021042300,2,131079,24,50,1,77.3,26.4,1,100,1,34.9,"[31.296875, 19.0, 19.796875, 23.0, 34.90625, 26.59375, 19.40625, 21.0, 22.09375, 30.90625, 26.59375, 34.59375, 23.09375, 17.59375, 23.09375]",49.655,17.9,18.2
31,2021042300,2,131080,24,50,1,40,23.5,1,100,1,26.5,"[25.703125, 26.5, 26.203125, 24.796875, 21.796875, 22.796875, 24.90625]",18.976,17.9,18.2
32,2021042300,2,131081,24,50,1,51.8,24,1,100,1,30.4,"[28.296875, 28.59375, 27.296875, 30.40625, 24.0, 24.296875, 26.296875, 26.09375, 26.796875]",34.074,17.9,18.2
33,2021042300,2,131083,24,50,1,74.9,25.6,1,100,1,32.7,"[29.296875, 30.5, 31.59375, 32.6875, 32.09375, 31.09375, 27.09375, 24.5, 22.09375, 22.5]",20.747,17.9,18.2
34,2021042300,2,131084,24,50,1,80,24.4,1,100,1,34.5,"[26.296875, 28.0, 25.5, 28.59375, 27.5, 25.5, 27.0, 25.796875, 26.296875, 25.5, 28.40625, 26.5, 23.59375, 23.703125, 27.5, 34.5, 31.296875, 25.796875, 25.59375, 29.5]",22.436,17.9,18.2
35,2021042300,2,131089,24,50,1,47.5,25.6,1,100,1,29.0,"[25.0, 27.09375, 28.59375, 28.296875, 29.0, 27.5, 26.40625, 26.796875, 26.796875, 24.296875]",17.143,17.9,18.2
36,2021042300,2,131324,24,50,1,80,23.3,1,100,1,28.5,"[25.5, 25.0, 26.5, 27.0, 28.5, 28.0, 25.5, 26.09375, 24.796875, 25.296875, 25.296875, 26.5, 26.5, 24.90625, 25.796875, 25.0, 25.296875]",13.3945,17.9,18.2
37,2021042300,4,262147,24,50,1,78,25.7,1,100,1,33.5,"[25.796875, 23.59375, 25.59375, 33.5, 27.5, 22.90625, 24.0, 24.703125, 24.59375, 25.40625]",26.668,17.9,18.2
38,2021042300,2,131088,24,50,1,80,25.3,1,100,1,26.9,"[16.59375, 23.796875, 26.703125, 26.90625, 23.40625, 23.796875, 21.0, 20.09375, 19.5, 21.296875]",21.334375,17.9,18.2
39,2021042300,14,917687,24,50,1,76.9,25.5,1,100,1,32.6,"[24.59375, 24.5, 26.203125, 29.796875, 27.5, 31.0, 27.90625, 27.5, 27.296875, 25.09375, 28.0, 27.796875, 27.59375, 32.59375, 27.296875, 28.09375, 26.0, 25.203125]",54.0815,17.9,18.2
40,2021042300,14,917686,24,50,1,77.6,26.2,1,100,1,33.3,"[21.703125, 21.09375, 21.09375, 22.5, 27.40625, 25.296875, 24.5, 31.296875, 33.3125]",24.458,17.9,18.2
41,2021042300,14,917685,24,50,1,80,25.7,1,100,1,22.5,"[18.90625, 19.09375, 18.796875, 18.5, 18.296875, 18.90625, 19.59375, 19.5, 19.90625, 22.5, 22.0, 21.09375, 20.796875, 20.0, 19.703125, 20.09375, 20.296875, 21.0]",36.378,17.9,18.2
42,2021042300,4,262397,24,50,1,40,24.1,1,100,1,34.1,"[23.90625, 24.09375, 26.59375, 27.40625, 27.796875, 34.09375, 22.796875, 30.796875, 29.796875, 30.0, 28.796875, 24.296875]",32.87075,17.9,18.2
43,2021042300,4,262398,24,50,1,40,24.5,1,100,1,34.1,"[26.59375, 27.40625, 27.796875, 34.09375, 29.5]",1.5662501,17.9,18.2
44,2021042300,4,262395,24,50,1,40,23.4,1,100,1,25.2,"[21.203125, 22.59375, 21.796875, 21.59375, 22.203125, 24.5, 24.09375, 25.203125, 24.59375]",20.854,17.9,18.2
45,2021042300,4,262394,24,50,1,45.1,25.8,1,100,1,30.6,"[27.703125, 27.0, 30.0, 29.09375, 30.59375, 28.203125, 25.59375]",56.524,17.9,18.2
46,2021042300,4,262393,24,50,1,40,24.7,1,100,1,31.5,"[31.5, 23.40625, 22.203125, 22.203125, 22.5, 23.703125, 22.703125, 22.5]",18.556,17.9,18.2
47,2021042300,4,262160,24,50,1,40,25.5,1,100,1,32.5,"[25.40625, 25.5, 26.09375, 32.5, 28.296875, 27.59375, 24.796875, 22.796875, 24.59375, 25.296875, 24.796875, 25.5, 27.796875, 28.5, 29.796875, 29.40625, 28.5, 27.203125]",27.558687,17.9,18.2
48,2021042300,4,262396,24,50,1,80,24.5,1,100,1,24.8,"[24.296875, 24.203125, 21.59375, 19.09375, 22.296875, 24.796875, 22.203125, 22.796875, 23.296875]",15.949,17.9,18.2
49,2021042301,15,983063,24,50,1,85.5,26.2,1,100,1,30.7,"[27.796875, 30.703125, 28.59375, 28.796875, 27.703125, 26.09375, 25.09375, 24.0]",11.2165,17.4,17.7
50,2021042301,15,983065,24,50,1,87.8,25.2,1,100,1,24.7,"[21.59375, 20.0, 23.59375, 21.0, 23.90625, 23.5, 24.703125, 23.0, 23.796875, 22.5, 22.5, 16.203125]",5.5348125,17.4,17.7
51,2021042301,15,983064,24,50,1,93.3,26.2,1,100,1,32.6,"[26.09375, 29.0, 30.296875, 31.40625, 32.59375, 31.0, 30.296875, 28.5, 29.59375]",33.653,17.4,17.7
52,2021042301,14,917748,24,50,1,80,25.4,1,100,1,19.9,"[19.796875, 19.296875, 19.203125, 19.90625, 19.0, 19.296875, 19.40625, 19.296875]",36.305,17.4,17.7
53,2021042301,3,196850,24,50,1,40,24.1,1,100,1,26.5,"[26.5, 23.0, 21.40625, 21.09375, 21.296875, 21.796875, 23.09375, 25.0, 25.796875]",10.267125,17.4,17.7
54,2021042301,3,196820,24,50,1,80,25.7,1,100,1,34.1,"[23.5, 22.59375, 24.90625, 24.296875, 32.90625, 33.5, 33.09375, 34.09375, 26.5, 27.203125, 27.203125, 30.09375, 29.09375, 29.40625, 26.0, 25.296875, 25.296875, 26.59375]",34.488377,17.4,17.7
55,2021042301,14,917750,24,50,1,80,26.2,1,100,1,32.3,"[32.3125, 29.5, 25.796875, 23.703125, 23.90625, 25.203125, 23.5, 22.59375, 22.0, 20.796875]",12.3324375,17.4,17.7
56,2021042301,14,917749,24,50,1,65.1,27.6,1,100,1,37.2,"[21.5, 21.59375, 22.703125, 33.09375, 36.09375, 35.8125, 37.1875, 36.0, 35.8125, 27.5]",44.8225,17.4,17.7
57,2021042301,15,983067,24,50,1,45.9,24.6,1,100,1,31.0,"[22.59375, 22.5, 21.59375, 24.09375, 23.40625, 23.296875, 26.90625, 29.5, 31.0]",33.126938,17.4,17.7
58,2021042301,15,983059,24,50,1,49.4,25.3,1,100,1,31.5,"[24.09375, 25.796875, 24.90625, 28.0, 28.0, 31.5, 31.0, 28.703125, 28.296875, 25.296875]",10.7335005,17.4,17.7
59,2021042301,15,983068,24,50,1,33.3,25.4,1,100,1,22.1,"[22.0, 21.5, 22.09375, 20.90625, 19.0, 19.40625, 21.5, 20.40625, 22.09375]",8.866,17.4,17.7
60,2021042301,3,196854,24,50,1,40,24,1,100,1,32.6,"[29.09375, 27.5, 30.0, 29.296875, 26.40625, 28.5, 28.0, 32.59375]",32.3685,17.4,17.7
61,2021042301,15,983070,24,50,1,58.4,21.1,1,100,1,28.6,"[28.59375, 28.203125, 28.40625, 27.703125, 26.703125, 26.796875, 27.0, 25.90625, 24.59375, 23.5, 24.296875, 24.09375, 24.5, 24.703125, 26.09375, 27.59375, 28.5, 25.59375]",18.066,17.4,17.7
62,2021042301,15,983072,24,50,1,42.7,24.9,1,100,1,31.3,"[28.40625, 21.796875, 31.296875, 28.296875, 28.296875, 28.59375, 30.5, 28.40625, 20.296875, 21.296875]",11.7247505,17.4,17.7
63,2021042301,15,983073,24,50,1,80,25.4,1,100,1,30.7,"[24.90625, 30.703125, 27.09375, 21.09375, 20.59375, 20.296875, 20.0, 20.40625, 20.296875, 21.703125]",11.5824995,17.4,17.7
64,2021042301,3,196621,24,50,1,80,26.7,1,100,1,34.7,"[29.796875, 30.203125, 30.5, 29.90625, 28.796875, 23.296875, 23.296875, 20.59375, 22.40625, 24.40625, 23.59375, 24.703125, 28.90625, 29.296875, 23.59375, 25.5, 32.5, 34.6875]",32.300373,17.4,17.7
65,2021042301,3,196757,24,50,1,42.4,26.3,1,100,1,29.1,"[20.203125, 20.296875, 22.90625, 20.09375, 24.296875, 20.296875, 29.09375]",37.225,17.4,17.7
66,2021042301,3,196788,24,50,1,80,25.3,1,100,1,31.4,"[31.0, 31.40625, 29.0, 26.40625, 29.5, 27.5, 25.09375, 27.09375, 29.0, 23.0]",39.784252,17.4,17.7
67,2021042301,3,196789,24,50,0,0,0,1,100,1,21.8,"[21.796875, 21.796875, 21.09375, 20.0, 21.09375, 20.0, 21.40625]",13.93775,17.4,17.7
68,2021042301,3,196790,24,50,1,98,25.5,1,100,1,33.6,"[26.0, 26.703125, 27.296875, 30.703125, 32.09375, 31.0, 33.59375, 27.59375, 25.0, 23.90625]",11.568,17.4,17.7
69,2021042301,3,196791,24,50,1,40,22.4,1,100,1,33.4,"[26.59375, 25.796875, 23.5, 22.296875, 22.09375, 22.796875, 22.796875, 25.59375, 24.40625, 23.296875, 29.09375, 29.5, 26.796875, 24.203125, 25.59375, 32.09375, 33.09375, 33.40625, 32.09375, 22.40625]",43.287502,17.4,17.7
70,2021042301,3,196792,24,50,1,65.9,22.6,1,100,1,25.6,"[20.796875, 22.40625, 20.59375, 23.0, 24.59375, 25.59375, 24.40625, 21.203125, 20.09375, 20.0]",4.967125,17.4,17.7
71,2021042301,3,196793,24,50,1,80,24.8,1,100,1,35.8,"[35.8125, 31.796875, 31.59375, 33.0, 29.703125, 25.703125, 23.296875, 22.59375, 24.59375, 23.0, 23.90625, 24.0, 24.796875, 29.796875, 29.703125, 27.0, 26.40625, 28.796875, 28.703125, 24.296875]",29.07825,17.4,17.7
72,2021042301,14,917689,24,50,1,67.5,25.5,1,100,1,27.3,"[20.203125, 26.40625, 22.296875, 27.296875, 22.296875, 22.796875, 20.90625, 20.59375]",7.5811872,17.4,17.7
73,2021042301,15,983069,24,50,1,94.5,26,1,100,1,29.8,"[27.0, 28.5, 29.796875, 29.59375, 26.5, 26.203125, 23.0, 23.40625, 23.796875, 23.59375, 26.296875, 26.09375, 26.296875, 28.203125, 29.59375, 25.5, 22.59375, 24.203125, 24.796875, 24.203125]",6.5459375,17.4,17.7
74,2021042301,14,917688,24,50,1,40,23.5,1,100,1,27.0,"[24.796875, 21.59375, 27.0, 21.5, 21.59375, 22.0, 21.90625, 24.09375, 24.203125]",7.3785,17.4,17.7
75,2021042301,2,131324,24,50,1,80,23.4,1,100,1,28.5,"[26.0, 25.5, 27.0, 27.5, 28.5, 28.0, 25.5, 26.09375, 24.796875, 25.296875, 25.296875, 26.5, 26.5, 24.90625, 25.796875, 25.0, 25.296875]",13.32275,17.4,17.7
76,2021042301,14,917686,24,50,1,76.9,25.8,1,100,1,33.3,"[21.703125, 21.09375, 21.09375, 22.5, 27.40625, 25.296875, 24.5, 31.296875, 33.3125]",24.702,17.4,17.7
77,2021042301,14,917687,24,50,1,75.7,25.1,1,100,1,32.6,"[24.59375, 24.5, 26.203125, 29.796875, 27.5, 31.0, 27.90625, 27.5, 27.296875, 25.09375, 28.0, 27.796875, 27.59375, 32.59375, 27.296875, 28.09375, 26.0, 25.203125]",54.2965,17.4,17.7
